	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	8.18261353392858	8.11703586731761	8.40321894938279	8.91896962804504	8.77863185608737	9.05740111261704
YDL247W-A	2.57020089661141	3.46778364350052	4.49891314310765	2.57020089661141	2.57020089661141	4.38231654878307
YDL247W	3.44442409853482	2.57020089661141	3.16514580443463	2.57020089661141	2.57020089661141	3.78236950883738
YDL246C	2.57020089661141	2.57020089661141	3.73651884182896	2.57020089661141	2.57020089661141	4.38231654878307
YDL245C	5.15456613611406	4.08018382315691	4.34992605437647	6.03375532363049	5.35674773004968	5.16128250495936
YDL244W	4.71553129227104	4.95026008613583	4.18007402334071	5.99308199591476	6.78463294768591	5.91141251839163
YDL243C	7.91322981717822	7.88305035453596	7.65256896485626	8.86410668007282	8.98843355727742	8.31103211501387
YDL242W	4.95297180471453	5.25762539677814	5.14846063244184	5.31785531528809	5.69293502760702	5.48783724316654
YDL241W	7.51218350412519	7.10266366934644	7.12589804372378	4.9349497447548	4.44018169350755	5.19765113887283
YDL240C-A	4.04289465939072	3.20991999134022	3.40582477232175	3.12922870732717	3.5157156858073	3.66044333932203
YDL240W	8.6013074073081	8.45636333870478	9.1782152690304	7.42956759518409	7.62664294876522	8.26589378006191
YDL239C	7.46701568733201	8.09840346930244	7.96818198344608	9.17029033137693	9.48536843208014	9.47290188135896
YDL238C	7.6233892774452	7.46489425356961	7.56934672384357	9.69047844268093	8.91658129525365	9.11405738469632
YDL237W	10.0705036216452	9.56914439025793	9.99844830517889	10.3254980611957	10.5122567454114	10.8340561410469
YDL236W	11.8174348319344	11.8615382931531	11.6923203673978	12.2163083301919	11.081045054612	11.3213239985395
YDL235C	11.1853235140531	11.4383459175703	10.8083547337117	10.9859102345474	10.5694285146216	10.5197159635331
YDL234C	10.2543528911444	10.3320759267083	10.7382767255474	12.0295227561301	12.3159734910211	11.7644882914609
YDL233W	8.18261353392858	8.18924645940973	8.36337384413928	9.14059093495624	9.73104160128088	9.44003922468803
YDL232W	9.90613057872615	10.0104649639421	9.73440827931556	9.01778758495331	8.91130937507749	9.20814713167467
YDL231C	10.2871722073025	10.221677784913	10.216596509024	9.81139510293241	9.39383846424518	9.46203063670003
YDL230W	9.65973242255041	9.84715464488865	9.86217590998973	9.90676171609752	10.7134256104721	10.8494314867186
YDL229W	13.5605487592115	13.161674902192	13.18060785264	11.7234861428099	9.12221635635781	10.2132776334641
YDL228C	5.84179109044342	6.14420734163677	5.96653286350112	4.46032770577199	3.77729916006507	3.12496198226397
YDL227C	10.9090711380754	10.7118237263599	10.1634635734239	7.38344521281947	5.96396227544671	7.34692043847219
YDL226C	11.3359650939873	11.471891588069	11.4919077893646	11.3535924689618	11.2990341194158	11.4493033473503
YDL225W	11.0116099273907	11.010495173425	11.1039082294062	11.0585575730564	10.9360954199549	10.9929061647169
YDL224C	9.23629901905483	8.59570749680069	9.11564661229984	8.86130797614141	9.53248133493325	9.69032014960146
YDL223C	8.0233556283214	7.91889410001279	7.68167761219721	11.2790186235428	12.0747370111155	12.182716654126
YDL222C	5.65891953585298	5.72119098810651	7.06084745571811	7.4742577349282	10.547510661712	10.7612870507648
YDL221W	5.9517384934471	6.01674038861722	5.52163925129909	6.16758415248549	6.58652334369886	6.16673080676502
YDL220C	7.16144735924184	6.73477256005884	6.99271190581018	7.3518546955998	6.87428738648656	7.46064202300718
YDL219W	10.2234851574572	10.5960035617712	10.1069591143823	9.48767420505586	9.42376469419164	9.48189908251198
YDL218W	5.9517384934471	6.06910752337216	5.91801408894534	6.5771362237918	7.28692890185783	7.17979689883384
YDL217C	9.08323662410353	9.01199241567728	9.25279240567575	9.34271883558741	9.01816437392184	9.04288234973049
YDL216C	8.62204175957771	8.04101595312568	8.66959052861563	8.50748695746856	9.20640890714104	9.44740701041137
YDL215C	10.3167204360927	10.5164000366277	10.9495577214222	12.3113815909959	12.4521966407868	11.7806188617469
YDL214C	5.9517384934471	5.93437551973203	6.34163505017651	8.66985300566663	9.53762236796945	8.92906685409596
YDL213C	11.5034102768416	11.686079812042	11.1305200479586	10.0622784387341	9.4348288783905	9.6088860890248
YDL212W	12.5526824501817	12.9278690580835	12.3243528976102	11.3565761988371	11.4732441351448	11.643820112719
YDL211C	7.85834198616961	7.02574449385374	7.33286437004522	6.13061548481566	7.11387577093699	6.27069837211917
tG(GCC)D1	2.57020089661141	2.57020089661141	2.57020089661141	2.57020089661141	2.57020089661141	2.57020089661141
YDL210W	7.64787683215865	7.94694066195333	6.53015905846639	8.72631758611545	7.34289255389183	7.32305647442227
YDL209C	8.55461443169183	8.51372673730483	8.76101294530632	8.03261812304496	8.02366835497546	8.53508066364732
YDL208W	12.9950896569193	13.1511716161982	12.6454402927804	11.0713269228285	9.80822599843669	10.640338057514
YDL207W	10.0553412778253	9.56009823457505	9.87009393797329	9.84719337458712	9.97919126794059	9.79654012240654
YDL206W	8.87099634421999	8.64360497526743	9.22835929827579	9.29374228913118	10.0408331097515	10.0833486247188
YDL205C	10.8086636069438	11.0237160045518	11.0602811328728	10.3265129044921	10.3830353757298	10.680749851681
YDL204W	8.65460882877883	8.25240484214414	9.38467149023485	12.3080459611543	13.5750490797371	13.8822192514113
YDL203C	9.18427577775853	9.08318803123589	9.23327914177888	9.26226538418451	9.37863925831865	9.3446186933733
YDL202W	9.88912750068934	9.64596809837299	9.40225234178428	10.7407635672395	10.7522696682841	10.1537216773096
YDL201W	10.3369245053547	9.91258235842254	9.69750480148986	8.89453922335244	8.73453577286476	9.03556779223602
