ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0140896	cGAS/STING signaling pathway	22/5294	30/16454	0.733333333333333	2.279234353356	4.83007298164554	4.47425797685283e-06	0.000246123783930241	0.000202310649461049	PARP1/SLC19A1/KAT5/ZDHHC18/AKT1/BANF1/TBK1/RICTOR/AARS2/PCBP2/SMPDL3A/LYPLAL1/SPSB3/IRGM/TAB1/PPP6C/RNF7/IRF3/AURKB/RNF185/CUL5/ZDHHC9	22
GO:0006605	protein targeting	127/5294	283/16454	0.448763250883392	1.39477720627793	4.61380535306822	4.55024315197402e-06	0.000248107995023425	0.000203941645980442	SEC61A2/HERPUD1/ICMT/TOMM40/LAMP2/TIMM10/HSPA8/BAP1/FBXW7/BAG6/YWHAB/YWHAQ/BCAP31/ZDHHC12/ZDHHC3/AP3D1/KAT5/ZDHHC18/CHM/HSPA5/HRAS/UBE2L3/HSPA1L/SEC61A1/CDK5/SGTA/CHMP4B/MICALL1/BNIP3L/SAE1/TOMM22/YWHAE/ARL6IP1/ATG14/SSR1/YWHAG/AP4S1/ITGB1BP1/CLU/BAG3/RAB7A/VPS37B/SDCBP/MYO1C/VPS53/UBE2J2/CDC37/HUWE1/TOMM34/AP3M1/FIS1/ARIH2/GSK3A/GDI1/PEX5/ZDHHC4/AP3B1/RHOU/CSNK2A1/LMAN1/UBL4A/TOMM20/ATG13/NAGPA/MFF/SPCS1/SORL1/NACA/GET4/RNF31/ZDHHC7/MAN1A1/SORT1/MFN2/SRP14/CHMP4A/LEPROT/TIMM23/TIMM9/KATNB1/SNX16/LTBP2/PITRM1/TIMM13/PEX19/HGS/ABLIM3/TRAM1L1/SRP68/BID/KCMF1/IRGM/AP4E1/TIMM8A/GOLPH3/SCARB2/RASSF9/TSPO/FBXO7/GCC2/PEX6/CDK5R1/UBL5/VPS4A/GOLGA7B/SREBF1/ADCY10/VPS41/SEC63/ZDHHC21/ZFAND2B/FZD5/ZDHHC6/EDEM1/ERBB2/ZDHHC23/AKT2/VPS37C/SRPRB/TRAK2/PEX7/SYNGR1/GDAP1/VPS13D/INPP5K/ZDHHC9/PMPCA	127
GO:0051225	spindle assembly	65/5294	126/16454	0.515873015873016	1.6033574996552	4.68247979504938	4.60507206380098e-06	0.000248914156074669	0.000204604300207688	HSPA1A/HSPA1B/RCC1/KIF3B/DDB1/UHRF1/RHOA/RNF4/BIRC5/CHMP1A/PIBF1/SMC1A/STAG1/CHMP6/KPNB1/BCCIP/POLDIP2/SKA3/INCENP/CCDC69/CHMP4B/PPP2R1A/TUBB/STIL/HNRNPU/DRG1/KIFC1/MAPRE1/MLH1/KIF4A/SKA1/HAUS2/SMC3/NUMA1/SPICE1/MAP9/MAPRE2/CDC20/LSM14A/RANGRF/CHMP4A/HAUS3/WRAP73/KIF15/KIF4B/CDCA8/ARHGEF10/CCDC61/PLK1/SPAG5/STARD9/CSNK1D/CHMP1B/AURKB/MYBL2/CEP63/INO80/SAC3D1/HAUS4/HAUS7/ASPM/PRICKLE1/TUBGCP5/CHMP7/SENP6	65
GO:0051960	regulation of nervous system development	188/5294	446/16454	0.42152466367713	1.31011840123602	4.57308051692216	4.70855929484267e-06	0.000252313832558121	0.00020739879144434	NR1D1/BTG2/PLXND1/CRABP2/AGRN/DPYSL5/NEFL/ZEB2/EIF2AK3/MDK/HDAC1/SKI/DLL1/IFRD1/PRTG/HES5/PRKCH/LRRC4B/FZD4/LRP2/LRRTM2/CERS2/SLC7A5/ID4/POU4F1/FGF2/WASF3/RAPGEF2/TNFRSF21/PRMT5/AMIGO3/CDK5/FXR2/DBN1/CDK18/XRCC5/NRXN1/MTMR2/ST8SIA2/LRP4/LIG4/ASCL1/HES6/BHLHE40/ZNF335/BHLHE41/CTNNB1/UFL1/CTDSP1/CXCL12/CAPRIN1/AKT1/SRRT/MAP1B/TP73/RNF10/ITGB1/IDH2/EEF2K/TPBG/ADNP/NF2/CTSC/YAP1/IGDCC4/OBSL1/EFNB3/EPHB3/FLRT3/TGFB1/RARB/XRCC2/TNFRSF12A/TMEM98/NTN1/MYB/FMR1/HES1/GDI1/HIF1A/SERPINE2/B2M/FN1/CDH1/DAG1/NTRK2/MTOR/MAPT/HES7/DUSP10/HEYL/PER2/POU4F2/NFATC4/AMIGO2/PRKCA/SORL1/OLIG2/KIAA0319/JAM2/TWF2/EPHA4/PLAG1/DAAM2/HOOK3/NOG/BAIAP2/FLRT2/CDKL5/DICER1/PTPRS/SOX8/KIT/SERPINF1/SIRT2/RGMA/NSUN5/RARG/MAP6/ANKRD27/IQSEC2/TIAM2/LDLR/WDR62/TSPO/SEMA6D/ETV5/HES2/TBC1D24/CAMK2B/E2F1/SLIT2/HMGB2/NAP1L1/MEGF8/ADCY10/RELA/RTN4RL2/GATA2/SEMA3F/MCF2/CHD7/CDH4/LRP8/FSTL4/ZFYVE27/PROX1/MAP3K13/PLXNC1/ROBO1/EPHB2/SEMA4F/LIF/LIMK1/PTPRD/TG/SYT4/EPHA7/SHOX2/NIN/MYCN/TRAK2/L1CAM/DYNLT1/QKI/LPIN1/LPAR3/VEGFA/DMRTA2/CX3CR1/CAPRIN2/MACF1/HLTF/GBX2/SLITRK6/SYNGAP1/SLITRK5/BMP2/MECP2/ASPM/VEGFC/SLITRK3/YTHDF2/NOS1/ANXA2/ULK1/RGS14/BMP7	188
GO:0016032	viral process	156/5294	360/16454	0.433333333333333	1.34682029971036	4.58253912011853	4.82395186037807e-06	0.000256287903966753	0.000210665428072651	HSPA1A/HSPA1B/ITGA5/EGFR/JUN/MDFIC/RCC1/DHX9/CSDE1/DDB1/WWP2/ST3GAL1/SMARCB1/LARP1/RAB1B/VCP/DDX6/TRIM5/USF2/MYH9/RPSA/ZFP36/ILF3/CHMP1A/TMEM39A/KPNA2/CHMP6/EIF3B/DDX56/CD46/CHMP4B/LIG4/ADAR/MOGS/SIVA1/CAV2/MAVS/HCFC1/DPP4/KPNA6/CNOT7/CD55/ZC3H12A/SLC1A5/STAU1/PABPC1/RAB7A/ITGB1/EIF3A/TMEM41B/TRIM25/VPS37B/TOP2A/LARP7/VAPB/GBP2/ATG16L2/EFNB3/PVR/FURIN/PTBP1/MID2/TARBP2/PRMT1/PEG10/VAMP8/CAV1/MGAT2/CTBP1/FMR1/BANF1/SLC7A1/VPS18/GSK3A/TRIM13/INSR/SLC3A2/DAG1/UBP1/N4BP1/APOBEC3G/HMGB1/LAMP3/HSP90AB1/SPCS1/EIF2AK4/TRIM14/IFI16/TRIM8/HYAL2/CCNK/PARD6A/CHMP4A/IFIH1/DENR/PCBP2/ATG16L1/IFITM1/F11R/CSNK2B/NCAM1/BST2/ITGB5/IL32/CREB3/RAN/PTX3/ARL8B/HEXIM1/LDLR/SRPK2/CR2/TRIM28/SCARB2/PPIA/CCNT2/GAS6/LAMP1/EPHA2/BSG/EIF3G/ST3GAL3/VPS4A/HCFC2/CHMP1B/FBXL2/PPID/ZC3HAV1/ADARB1/TFRC/PROX1/SRPK1/ATG12/CTSB/VPS37C/TRIM6/MGAT1/USP6NL/TPCN2/DYNLT1/EIF2AK2/APOBEC3F/RAD23A/SLC20A2/NFIA/ST6GAL1/DDX5/AGTR1/PC/BICD1/INPP5K/PDE12/ZDHHC9/CHMP7/TYRO3/TMEFF1	156
GO:0001824	blastocyst development	64/5294	124/16454	0.516129032258065	1.60415321057314	4.65100983628589	5.31932103727309e-06	0.000280211013285505	0.00023032992252385	CCNB1IP1/BCOR/SMARCB1/RRP7A/PHF6/NLE1/TET1/ACVR1C/TBL1XR1/SUPT6H/EMG1/PSMC3/STMN3/HCFC1/LPAR6/ACTL6A/BNIP2/NCAPG2/PRPF19/RRM2/YAP1/FURIN/CCDC24/MATR3/CAPN2/NBN/RBBP8/ZBED6/KLF4/N4BP2L2/WDR74/CMTM3/ASF1B/PPP4R4/MFN2/PSMC4/RTF1/ZFP14/MXI1/CDX2/SLC35E2B/JUNB/LATS2/GRN/GINS1/TFAP2C/CITED2/ADA/CTR9/PTPN18/ZP3/RPL13/THOC2/BYSL/SP3/SPECC1/TTLL1/FBLL1/GINS4/TAF8/RPL7L1/ETV2/SBDS/SUV39H1	64
GO:0019827	stem cell population maintenance	89/5294	186/16454	0.478494623655914	1.48718370563551	4.60219021510391	5.58378614224236e-06	0.000291670711430071	0.0002397496500172	KLF10/IGF2BP1/SMARCC1/MYC/ACTB/HDAC1/SKI/SOX9/DLL1/HES5/SMARCB1/MED24/DDX6/ZNF358/JAG1/TET1/TAF5L/SMC1A/KAT2A/BCL7C/NFIB/KDM2B/SMARCA4/SOX4/BCL7B/LIG4/ZHX2/CUL4A/CTNNB1/MED17/RAF1/ARID4B/SRRT/BRMS1/ACTL6A/SMARCD1/BCL7A/LOXL2/BCL9/KDM3A/YAP1/WDR43/OGT/STAT3/PHF19/HES1/RBBP7/SMC3/TBX1/MED30/TAF6L/ARID4A/KLF4/SMARCE1/ELAVL1/TRIM8/SIRT6/HOOK3/NOG/PAF1/DPF2/RTF1/KIT/CDX2/SS18/SETD6/TFAP2C/SIN3A/SFRP1/CTR9/ING2/ZC3H13/BRMS1L/GATA2/PROX1/RBPJ/LIF/ZIC3/METTL3/MED12/RBBP4/PRRX1/ING1/SAP30L/MTF2/ASPM/SAP30/BMP7/GNL3	89
GO:0009267	cellular response to starvation	87/5294	181/16454	0.480662983425414	1.49392306937699	4.60200627198327	5.64731338281618e-06	0.000292530833229878	0.00024045665929991	KLF10/ATF3/CDKN1A/MYBBP1A/XBP1/PMAIP1/LAMP2/EIF2AK3/GLUL/HSPA8/ITFG2/ASNS/GABARAPL1/MAPK1/NPRL3/PRKCH/PCK1/WIPI1/SLC7A5/PPM1D/SESN2/KAT5/HSPA5/WIPI2/GAS2L1/PIM1/HIGD1A/ATG14/GPR155/YWHAG/AKT1/ZC3H12A/FOS/TSC2/RNF167/PDK4/FADS1/PRMT1/INHBB/CAV1/SAR1A/DEPDC5/FAS/ATG7/ATXN3/PICK1/SEH1L/MTOR/CPEB4/SLC2A1/EIF2AK4/IFI16/KPTN/TTC5/RRAGC/PRKAA2/UCP2/DSC2/PAK4/PPARA/CLEC16A/RPTOR/ZFYVE1/SP1/SESN3/SFRP1/EHMT2/TBL2/USP4/PAK2/GAS6/IMPACT/SREBF1/VPS41/RRAGD/RRAGA/SLC38A3/EIF2AK2/GABARAPL3/SAR1B/MAPK3/PLIN3/SLC38A2/UPP1/RNF152/PIK3C2B/SUV39H1	87
GO:0007409	axonogenesis	191/5294	456/16454	0.418859649122807	1.30183541115728	4.50196573022157	6.4098585863599e-06	0.000329286619610026	0.000270669452615841	PLXND1/CRABP2/APLP2/NPTX1/NOTCH3/DPYSL5/PITPNA/NEFL/ZEB2/GDNF/SLIT3/ACTB/PTPN11/IFRD1/CYFIP2/MARK2/UCHL1/CNP/POU4F1/MAP1A/RAC1/STMN1/CTTN/POTEE/PPP3CB/NFIB/EFNA1/EPHA6/CDK5/SEMA4C/ETV1/NRXN1/ABLIM1/GLI2/CNTN1/LRP4/CNTNAP1/DNM2/APBB2/RAB8A/ITGA4/NTN4/CXCL12/SEMA5B/ACTBL2/ISL2/MAP1B/APP/UNC5B/ITGB1/ARHGEF40/ADNP/VASP/POU3F2/DVL1/PLEKHG4/EFNB3/EPHB3/FLRT3/RAB10/PLEKHG4B/TNFRSF12A/FAT4/B4GALT5/USP33/NTN1/C9orf72/ACTG1/TUBB2B/GDI1/NTNG2/SEMA4G/CELSR2/NRP2/FN1/CDH1/DAG1/TTL/CELSR1/NTRK2/PTPRJ/MAPT/EPHA8/KIF5A/POU4F2/SPTBN4/BOC/LAMB2/ARHGAP35/ABL1/PRKCA/KIAA0319/TWF2/ACTL8/EPHA4/VCL/NR4A2/SPG21/NOG/BAIAP2/RPS6KA5/FLRT2/CDKL5/AUTS2/PTPRS/B4GALT6/LMO4/SPAST/TBCE/NCAM1/RGMA/DCHS2/SCN1B/CHN1/EFNA2/FEZ1/MAP6/SSNA1/TIAM2/ALCAM/SIN3A/NRXN3/BRSK1/POTEF/NEXN/SPG11/SEMA6D/PAK2/LYPLA2/CDK5R1/PTPRM/BSG/SEMA3E/SEMA6A/UNC5C/SLIT2/BRSK2/MEGF8/EPHA5/ADCY10/SEMA6B/SEMA3F/MCF2/MATN2/ADARB1/CDH4/TUBB3/FSTL4/ZFYVE27/MAP3K13/PLXNC1/ROBO1/EPHB2/PCDHAC2/SEMA4F/ERBB2/TTC8/LIMK1/PRDM8/GDF7/EPHA7/SHOX2/NIN/TCTN1/TRAK2/L1CAM/STXBP1/CDK5R2/SEMA3D/COL25A1/EPHA10/ADAM17/EPHA3/EDNRA/LPAR3/VEGFA/RPL24/XK/FGFR2/DSCAML1/WNT7B/MACF1/GBX2/SLITRK6/SYNGAP1/SLITRK5/SLC25A46/PRICKLE1/SLITRK3/ULK1/BMP7	191
GO:1904262	negative regulation of TORC1 signaling	38/5294	64/16454	0.59375	1.84540281450699	4.66709476817266	6.64780947546272e-06	0.000337961737111712	0.000277800289903856	ITFG2/PRKACB/NPRL3/SESN2/AKT1S1/PRKACA/PIM1/OTUB1/GPR155/YWHAG/AKT1/SYK/RPS6KB1/TSC2/RNF167/UBE2N/PRMT1/SAR1A/DEPDC5/ATXN3/TBK1/SEH1L/MTOR/CUL1/KPTN/DEPTOR/PRKAA2/PELI1/UBE2D1/SESN3/USP4/BTRC/USP7/SEC13/VHL/SAR1B/MAPK3/RNF152	38
