gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MOV10	21681.7997982992	5.08610025079716	0.11001170462823	46.2323556205673	0	0
H1F0	7881.08111087538	1.55298592979782	0.0565123313299517	27.4804789193811	3.00469940675844e-166	2.34021013295381e-162
HIST1H1C	1741.38295039648	1.52953734804201	0.0704861187754676	21.6998378491279	2.05887492357934e-104	1.06903648948651e-100
TXNIP	5133.7485819313	1.4256765914439	0.0694987293269162	20.5137073044549	1.6242934083391e-93	6.32540460542452e-90
NEAT1	21973.7061220782	0.920200760466581	0.0465961533602281	19.7484275869865	8.27545511574291e-87	2.57813528675855e-83
KLF10	1694.21092469274	1.23962162336713	0.0650147312716798	19.066780699086	4.76767339174553e-81	1.23776747372034e-77
INSIG1	11872.5106252916	1.26039074036161	0.0697104277694579	18.0803759306987	4.5496959206606e-73	1.012437333659e-69
NR1D1	969.911898302453	1.59540433481467	0.0919117784531209	17.3579965665488	1.71607949496695e-67	3.34142128663753e-64
WDFY1	1422.73609085685	1.08899987135284	0.0640755847882755	16.9955510347852	8.85939114785126e-65	1.53336373233421e-61
HSPA1A	31481.995377175	0.894305268041801	0.0530065904896166	16.8715863401361	7.28143609777653e-64	1.13422930095065e-60
HSPA6	168.252173523405	6.29156207571419	0.38277262704469	16.4368129567939	1.04259508467801e-60	1.4764094212754e-57
HMGCS1	11833.0545489203	0.928142706733385	0.0576233332980909	16.1070638161804	2.27576370853749e-58	2.95413094065737e-55
HSPA1B	29876.3390804655	0.82960775013616	0.0528747501541698	15.6900552289557	1.76901602777468e-55	2.11968943574202e-52
LAMC1	5683.46708801965	0.933574295643457	0.0595324925923933	15.6817605813257	2.0158826455424e-55	2.24295742640099e-52
TMCO1	1718.75785610096	0.957116078438112	0.061535521067827	15.5538794801646	1.49753206177109e-54	1.55513712841389e-51
ADAMTS1	9567.07025319139	1.03588978992673	0.06876769375007	15.0636110277534	2.81009521013835e-51	2.73580331802032e-48
ZFP36L1	1577.70646783558	0.939437075991044	0.0627844437777893	14.9628955751517	1.28319118343011e-50	1.17578053319358e-47
MRC2	436.686318383262	1.60430593023883	0.108266305034282	14.8181461418752	1.11828321372481e-49	9.67749867788406e-47
COL2A1	3444.44875424512	0.839224301264621	0.0567609168209134	14.7852492219684	1.82380977796208e-49	1.49523604796397e-46
ZNF184	764.115693253902	1.12538567792056	0.0764490714813733	14.7207239553558	4.74552661551782e-49	3.69605340449606e-46
C1orf95	219.673745481546	1.96291805553115	0.133831505478002	14.6670849178619	1.04749498158632e-48	7.76991872770004e-46
ARRDC3	1996.72264555492	1.08292264316865	0.0743932062050324	14.5567411113327	5.29211625848391e-48	3.74705886174563e-45
DNAJB1	2961.57051532566	0.805602246748802	0.0558173860031653	14.4328193137371	3.21659158855431e-47	2.17847161630046e-44
HIST1H2BD	558.21163037165	1.53894044576773	0.107157049254796	14.3615418348117	9.01979104790578e-47	5.85422021471785e-44
RBM3	7329.51099101475	-0.685684585734012	0.0480593131520079	-14.2674653623377	3.49035543037963e-46	2.17477066156094e-43
ATF3	4277.27376849375	0.720846779045125	0.0506600047512718	14.2291099770777	6.04461732766341e-46	3.62142323511588e-43
TEX261	2394.29342006114	-0.926362535962235	0.0658329294594896	-14.071415985404	5.69182114971622e-45	3.2837591870048e-42
FCGRT	580.629055157727	1.28252962182661	0.0919663756888517	13.9456362417257	3.34452133320448e-44	1.86062888597593e-41
HDGF	12116.9614884001	-0.598572957858285	0.0433821096914128	-13.797691309069	2.63145818189077e-43	1.41345600342457e-40
BTG2	1874.92080817096	0.829709516741028	0.0608178026348975	13.6425434789539	2.23622813683524e-42	1.16112418958275e-39
SAT1	2856.29046986055	0.830996731186796	0.0610579839396747	13.6099601979623	3.49434062921876e-42	1.7558498058497e-39
POLR3H	1725.30177464964	-0.811055766301657	0.0597679674288365	-13.5700744260268	6.02608174859936e-42	2.93338360618538e-39
PLK2	1219.22439769335	1.05445102705933	0.0778038847533487	13.5526783836323	7.63910511143679e-42	3.60588910063184e-39
ODC1	8981.92787397786	-0.617198066100169	0.0455945199629985	-13.5366720957046	9.49959941779285e-42	4.35221353326351e-39
SEC61A2	895.906001503779	-0.921059160229638	0.0699133613131696	-13.174293767737	1.23376533447528e-39	5.49096074717754e-37
HNRNPM	9938.53995734299	-0.635262689578896	0.0482589263930924	-13.1636307945264	1.42090168302036e-39	6.14816264344672e-37
C11orf96	959.961336276994	1.20903550680144	0.0923564012112642	13.090976813137	3.70808170310163e-39	1.56110239700579e-36
CREB3L2	2361.20987927367	0.70484407373878	0.0540953743890208	13.029655154431	8.29818394822112e-39	3.40160029898527e-36
CDKN1A	2752.3933381421	0.819308965052544	0.0629116563707784	13.0231663306373	9.03454168775394e-39	3.60848861205495e-36
EI24	4362.26043349559	-0.693699680471858	0.0535698996410753	-12.9494302793122	2.36704192084186e-38	9.2178530002384e-36
TATDN2	2572.26716955954	-0.660212168810223	0.0521717306769032	-12.6545958940654	1.05517110744309e-36	4.00887813186364e-34
PLXND1	1115.42760686056	0.918783215103916	0.0727562274125004	12.6282415647359	1.47538430829018e-36	5.47191937386573e-34
FOXM1	6859.39167677743	-0.709958111678855	0.0564775342501699	-12.5706286774855	3.0627865154473e-36	1.10951222211913e-33
ZNF256	657.471960623069	1.00974408132136	0.0810968594739817	12.451087352468	1.37952782774157e-35	4.88384203925691e-33
MBNL1	2821.94372890797	0.734936616632706	0.0596125700438088	12.3285511108246	6.35796572592695e-35	2.20084515806142e-32
TSPYL2	2542.6624266549	0.660217503141704	0.0539231334329612	12.2436783827206	1.81611365667789e-34	6.14991357175466e-32
CRABP2	1076.1525105273	1.03053960125626	0.0843420906353444	12.2185683742632	2.47403115153525e-34	8.19957090371587e-32
APLP2	8392.249966235	0.614758716557573	0.0507073692081564	12.1236563079018	7.91476948978411e-34	2.56850759046598e-31
EGR1	2275.17422063908	-0.91603054970885	0.0756052904221149	-12.1159583488738	8.69419131362192e-34	2.76386567535283e-31
DNAJC5	2474.5467606432	-0.722481945154345	0.0600701183709199	-12.0273101626532	2.55344792930949e-33	7.95501167897078e-31
BTBD6	1194.05136845351	-0.790814608190758	0.0657759801379897	-12.0228479534889	2.69519108351304e-33	8.23195911919266e-31
SLFN5	339.241634532502	1.25931138030144	0.10517451994232	11.9735405589878	4.88966194136322e-33	1.46473584731952e-30
IRS4	22475.0433411525	0.534232317453396	0.0446850524719503	11.9555038631485	6.07638999943864e-33	1.78588541549539e-30
DYRK2	1742.56857673897	0.667782836563285	0.0562612867240113	11.86931326045	1.70864419112125e-32	4.92880566020291e-30
UBFD1	3405.49091288875	-0.610205503849379	0.0515096059865335	-11.8464409145143	2.24525705966434e-32	6.35897622152571e-30
IRAK1	5811.40589988045	-0.608834335589069	0.0514555038497685	-11.8322490314475	2.65919859901609e-32	7.39684581729886e-30
LOC100499177	1897.20175019736	0.795561620275673	0.0680443195056705	11.6918153646812	1.40354059730733e-31	3.83560559372917e-29
