gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MOV10	21681.7997982992	0.613905254429271	0.125794590729888	2570.55629700992	0	0
HSPA6	168.252173523405	0.360151113769547	0.581718595852136	1074.06126438297	5.8960319224013e-234	4.92731387755077e-230
H1F0	7881.08111087538	-0.241912595136604	0.0636086573511919	884.877582091008	7.10026354481638e-193	3.9557934962687e-189
FOSB	638.362878285845	-1.41114196938082	0.097199937239978	574.049282627681	2.22219469838735e-125	9.28544054721155e-122
EGR1	2275.17422063908	-0.943941659185616	0.0803975513630165	528.369200604792	1.84538032031077e-115	6.16873733473484e-112
HIST1H1C	1741.38295039648	-0.760468838954592	0.0788711338096353	472.180308992663	2.93324723903205e-103	8.17104905886362e-100
APLP2	8392.249966235	-1.20009234251797	0.0560272148778931	470.891682750376	5.58689235475362e-103	1.33399026881931e-99
NID1	6124.72590565152	-1.10929770577958	0.0554346486035872	466.109202532557	6.10481753374923e-102	1.27544900323856e-98
TXNIP	5133.7485819313	-0.793980365404359	0.0776421354831357	409.606596743671	1.13516146943531e-89	2.10812097779353e-86
DHRS2	539.251174421826	-1.69754239499093	0.114697692705135	393.035450708493	4.50231920652352e-86	7.52517632178342e-83
NEAT1	21973.7061220782	-0.422495468516199	0.0520820149641448	389.660383637307	2.43401239219487e-85	3.69837119301318e-82
NR1D1	969.911898302453	-0.121439598650867	0.105482457309271	384.284317413209	3.57866241998785e-84	4.98448030730641e-81
INSIG1	11872.5106252916	-0.19748535846042	0.0781012114441092	379.614120757227	3.69692850048218e-83	4.75311253515839e-80
KLF10	1694.21092469274	-0.983219550766703	0.0717202615352738	375.788205204897	2.50396386710371e-82	2.98937514819795e-79
LAMC1	5683.46708801965	-1.17326501756035	0.0659326961674051	367.710300752391	1.42142098274461e-80	1.58384202037289e-77
WDFY1	1422.73609085685	-1.00013152252006	0.0701260746771285	324.160301256431	4.06897438711704e-71	4.25055236914213e-68
ZFP36L1	1577.70646783558	-1.1200854497711	0.0682184569697867	323.403443078792	5.94065895960034e-71	5.84071610886824e-68
MAT2B	2195.38649042855	1.11668747235498	0.0649471902520082	320.523241784235	2.50762381491058e-70	2.32846802457864e-67
CDKN1A	2752.3933381421	-1.16749239516664	0.0689984292528361	310.635172710491	3.51908132506582e-68	2.94089626335751e-65
TMCO1	1718.75785610096	-1.03181451822013	0.0671879186706969	310.646640882254	3.49896035334395e-68	2.94089626335751e-65
HSPA8	15997.2433609958	-0.513940806630471	0.0530798726919657	308.1118893147	1.24266289529837e-67	9.89041315810331e-65
HSPA1A	31481.995377175	-0.257755769432955	0.0592809332872104	303.430133275603	1.29117092414552e-66	9.8093776482583e-64
COL2A1	3444.44875424512	-0.969308218699046	0.0625514393114974	299.536176941287	9.04785458306851e-66	6.5750365870177e-63
CTNNB1	11003.5498447108	-0.862622724942906	0.0516906934078668	299.067494631983	1.14371727894e-65	7.96503775008462e-63
DNAJB1	2961.57051532566	0.0852306315513191	0.0631281933877998	297.486808985491	2.52092664919774e-65	1.68539072058764e-62
HMGCS1	11833.0545489203	-0.177615670725359	0.0645167706951916	293.11593139271	2.24225096248126e-64	1.44142240718892e-61
AKT3	3308.65194469616	0.987241036390772	0.0647192669922569	290.456497335101	8.47564947092962e-64	5.2467409354488e-61
GADD45B	1495.49851047387	-0.822350785025648	0.0837407994552193	288.277272038194	2.51991416523319e-63	1.50420876277527e-60
MRC2	436.686318383262	-0.279638474144553	0.124864667020326	267.130288565618	9.84906181893915e-59	5.67645583592237e-56
C1orf95	219.673745481546	-0.49960269703435	0.155780740965374	264.614357608314	3.46515231385262e-58	1.93055185912442e-55
HSPA1B	29876.3390804655	-0.227101186092576	0.0591312983552748	264.225186814131	4.20949204739374e-58	2.26959516387545e-55
RBM3	7329.51099101475	-0.0419276496153441	0.0528160703129808	257.129598347954	1.46223492186516e-56	7.63743577626697e-54
ADAMTS1	9567.07025319139	-0.227109855224308	0.0769932811598455	252.278069012352	1.65391566782422e-55	8.37683226424665e-53
NUCKS1	23622.5901572346	0.786002684171417	0.0517517973991549	252.090255845759	1.81675545258095e-55	8.93095606895237e-53
CD24	870.473564561797	0.779555767982445	0.107080025887658	239.693592641516	8.93712195090614e-53	4.26785875106987e-50
ARRDC3	1996.72264555492	-0.27036974135948	0.0836271504156645	233.41928026325	2.05895713829645e-51	9.55928044707968e-49
TEX261	2394.29342006114	0.0176152978090661	0.0711214831689446	232.094583429979	3.99302076216055e-51	1.80376618969599e-48
BASP1	4636.09515321042	0.214205067625122	0.053873272901616	226.171021191406	7.71945722559296e-50	3.3953423175937e-47
SAT1	2856.29046986055	-0.0736916223790203	0.0686829088541055	225.613205342676	1.02026957885317e-49	4.37250916434662e-47
ODC1	8981.92787397786	-0.0153316504494466	0.05026420266739	225.44770192966	1.10829033797004e-49	4.63099117720781e-47
ATF3	4277.27376849375	-0.640188703566825	0.0561051645206942	224.329595586221	1.93841719965e-49	7.90212318901221e-47
EI24	4362.26043349559	-0.0768779208854247	0.0584587085401138	222.298680803941	5.3512445217181e-49	2.1295404984761e-46
FOS	589.073552519669	-0.918627228055569	0.0967071109138827	221.832338319857	6.75646886803581e-49	2.62622373628722e-46
CCND2	2962.02378000039	0.781047979412251	0.0643152304536445	220.885620371633	1.08466835632809e-48	4.12026066083358e-46
ZNF184	764.115693253902	-0.696172372874923	0.0846177931304029	218.285225769224	3.9807553156892e-48	1.47854098547621e-45
FUT1	252.338760351509	1.29656403199819	0.157688269341775	217.804318928698	5.06282688064949e-48	1.8395671409386e-45
SEC61A2	895.906001503779	0.845992557721715	0.0763734139427301	216.143015620251	1.16182443757955e-47	4.13164545738396e-45
HIST1H2BD	558.21163037165	-1.26295422767686	0.117642393869248	215.656559893535	1.48174348367326e-47	5.15955428877394e-45
DHX37	1657.77113424762	-0.270096375981001	0.0705443671249137	214.36950390639	2.82002970201782e-47	9.61917886520935e-45
CREB3L2	2361.20987927367	-0.0335244511056162	0.0609163415452307	213.298125624965	4.81837415171458e-47	1.61068611143515e-44
SQSTM1	3947.4648428651	-0.816271210732421	0.0707754681173714	212.979586667296	5.65028528651413e-47	1.85174251527053e-44
C10orf10	335.822307880989	0.368775065116599	0.127177809128808	211.262807789184	1.33310443389366e-46	4.28490529001897e-44
PPT1	3590.42704409861	-0.671518498029009	0.0538505553335258	210.523927479816	1.92890124524082e-46	6.08295385150096e-44
