	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
MC1R	6.4151333364823	6.36240561567318	6.22521828409131	6.31858073921405	6.20325379662417	6.36813616605229	6.47673770726264	6.40976146472241
MC2R	0	0	0	0	0	0	0	0
MC3R	0	0	0	0	0	0	0	0
MC4R	2.89372777353024	2.86055770196968	2.85890520084169	2.91920630876424	2.91104260009847	2.8618404066559	2.92321466734564	2.95478220604434
MC5R	-1.41985211031594	-1.43120632857821	-1.43211097376733	-1.43185906741885	-1.42269548629969	-1.43186489423679	-1.43131049516173	-1.43039927888431
MCAM	9.86735254367305	9.95443942985829	9.99881524971561	10.0245227376458	9.92592433201266	9.63626430119385	9.58369853355378	9.65711195299114
MCART1	8.70993072407837	8.63954187316736	8.42288249848573	8.38460667684376	8.33548389411227	8.54863998729066	8.63646743631409	8.51061450465913
MCART2	1.47112398612292	1.47418151906102	1.46925056786576	1.50334290658323	1.45811941848034	1.50327495423081	1.49192906170196	1.46802227843348
MCART3P	-1.7312943878168	-1.7297421764909	-1.73049817525947	-1.72425611056403	-1.72866134017393	-1.73029253019078	-1.72982922698297	-1.7230361866118
MCART6	7.85481948706775	7.77001897031272	7.81697205179247	7.79699706776742	7.79680886944234	7.88334491608427	7.89454858160861	7.85232750645788
MCAT	9.49574008703832	9.39694196804535	9.26589285478754	9.29340443399989	9.22617276434865	9.44135900787858	9.36519699881777	9.31040582952694
MCC	10.8252257528129	10.8442927966129	10.9544604719196	10.8998840291091	10.9685053094718	10.9221207075613	10.9698514118215	10.9555375872644
MCCC1	9.21889762649786	9.16733793135103	9.30336779950218	9.30467535115558	9.3451457284759	9.20203000586646	9.15175510125305	9.17548942627267
MCCC2	11.5550921825157	11.5074606727077	11.3185443201364	11.3363506090322	11.2770212807649	11.448526980392	11.4368509703878	11.4175750394157
MCCD1	-1.72533193557418	-1.72971405983943	-1.73045365124158	-1.73024770556064	-1.72275603270362	-1.73025246926746	-1.7297992210833	-1.72905425749716
MCEE	7.45927275277772	7.44328447260261	7.63869757825251	7.65153480671765	7.59227818958238	7.40576685754363	7.4023460199513	7.35866279479479
MCF2	3.89810688486576	3.90419447801669	3.84924308457086	3.90140166329782	3.91075881169384	3.99604527605796	4.02225229272656	3.97693582190942
MCF2L	7.69578509168667	7.67839371652591	7.91211570606358	7.87846408401264	7.83434037230074	7.68773991962138	7.84994862772368	7.87839698060952
MCF2L-AS1	5.22924622421436	5.19812567404283	5.389563818921	5.35260701974925	5.32980256768981	5.20107462037722	5.31091947105446	5.22908226377014
MCF2L2	6.38342098052294	6.40427853080592	6.74659729424931	6.78272587623177	6.79291043613514	6.57225844813129	6.62210313045952	6.71766973747464
MCFD2	11.6831175481198	11.7281803426137	11.6377454155053	11.6108233661079	11.6247426114386	11.6875136337231	11.7463820407461	11.7016127276217
MCHR1	0.400514344395047	0.392044937694219	0.38955510944492	0.381617793250151	0.395983915435563	0.398730628547329	0.401222506362404	0.394459196384375
MCHR2	-2.09001000250568	-2.08934635838226	-2.08709080936424	-2.0895795788548	-2.08888424948113	-2.08958166074904	-2.08938357660541	-2.08905800337831
MCL1	13.0181487951659	12.9444457958384	12.7843976236315	12.761165924287	12.8642390239045	12.8206665547069	12.8081288260477	12.7789179853782
MCM10	11.3949650071854	11.4220224661913	11.3420615731624	11.3526950891195	11.4006572347392	11.4728020232079	11.4474266817051	11.3797689388415
MCM2	13.3778336241904	13.3310287043792	13.2661043682414	13.2915570717321	13.1996856130696	13.3802707922685	13.3784279016426	13.3943550001996
MCM3	13.5108619226802	13.5100835925484	13.415023861602	13.4392738764555	13.3834047669492	13.5443110234812	13.5209464973209	13.5544576705792
MCM3AP	11.5410991310621	11.525349943808	11.3879070779816	11.4049725678575	11.3851906952873	11.5146793544098	11.5504573296286	11.5244473751705
MCM3AP-AS1	6.71856800820169	6.79804396769749	6.81580227785448	6.83685480494712	6.8602785156183	6.66606300308062	6.70704637622616	6.6664492008989
MCM4	12.9253592407033	12.9032238700618	12.7928700505475	12.8028855839391	12.7596308443888	12.902391605775	12.9103461933854	12.8782659240352
MCM5	12.0250593413675	11.9589306222453	11.8436969540462	11.8996711827223	11.7593166834284	11.9361990438196	11.8990781566825	11.8854914180617
MCM6	12.6613086696758	12.6576321281494	12.6770099834098	12.6759654425062	12.6852044216199	12.7397450943002	12.7394878367533	12.7553862757868
MCM7	13.3887316697165	13.3659632424792	13.2016360683356	13.2325511179272	13.1342746129242	13.3752914752114	13.3127909028649	13.3423131506048
MCM8	11.3626973497608	11.3542246591341	11.3058701234297	11.245272338265	11.3400548502189	11.3281329474372	11.3506957765994	11.3310069250324
MCM9	10.1796313070227	10.0727939061674	9.93621734749204	9.91592778711985	9.92671337051989	9.98696168190806	9.97005307960418	9.97070959605798
MCMBP	12.220254229686	12.2070041677729	12.1031695681995	12.0697339091363	12.1081988288652	12.252752579679	12.2040476606807	12.1741518837608
MCOLN1	8.49553157424631	8.41723793649698	8.29139717982821	8.26540763874735	8.15596088226508	8.31517808665404	8.33420770441507	8.28956171418497
MCOLN2	8.5696806554344	8.61188894304527	8.85549876003615	8.81699639092952	8.79244460661247	8.73267447819049	8.80933171892174	8.80512991842319
MCOLN3	10.2059494898534	10.1930450614633	10.2131510418953	10.1952822935831	10.2432910106711	10.2743752106843	10.27573650604	10.274822427761
MCPH1	9.41074691184949	9.4468366099714	9.45171502411432	9.44131259589706	9.56510922206032	9.47245457916549	9.43762011904837	9.44234140196925
MCRS1	10.8536223346629	10.8627684640724	10.7908762203993	10.794166415642	10.6647986416145	10.9529848682245	10.8749158117039	10.9597331844514
MCTP1	6.40694538905326	6.5232443445299	6.53749398141296	6.51623334920448	6.50890663274471	6.48543904861591	6.4610468263184	6.52235938478435
MCTP2	5.90616856894516	5.97528410082577	6.22805640122536	6.14876900409005	6.28160190085576	6.23596593404755	6.14595257556102	6.1359515905236
MCTS1	10.6889617224968	10.6896242494941	10.8257782843005	10.7941247985495	10.900839620749	10.7998350888706	10.8295194673712	10.775366137374
MCU	9.64689830140797	9.69062744939359	9.94117334715152	9.98392301424832	10.0365723324827	10.038435685226	10.0313580957874	9.98139910112007
MDC1	13.1545878753697	13.150606019099	13.0481219040968	13.021390345243	13.031541482117	13.0646953845488	13.062839124186	13.0613646017444
MDFI	-0.347341325310152	-0.352829600652161	-0.345414180248864	-0.344861308977056	-0.351995966691309	-0.328403762038004	-0.343598179973028	-0.352319370614241
MDFIC	9.57173297898574	9.62441005648056	9.79319442962223	9.74680957480441	9.87110973811986	9.36022700658821	9.34841583805272	9.24279062820364
MDGA1	8.41919921197616	8.49302350512086	8.35131478841956	8.42260769836122	8.29586837078045	8.25872400709989	8.20472114383576	8.2165665724329
MDGA2	5.38098098476911	5.32107059180407	5.47080213727411	5.40451107710962	5.3892450970769	5.43833640861183	5.41013213945345	5.33205336166165
MDH1	11.911382660043	11.9479500625599	12.0085910814096	11.9882045589341	11.9849232477335	11.9594693487576	11.959095061364	11.9758489048876
MDH1B	4.58434793826807	4.58914281312125	4.54725259739528	4.63351982278749	4.55494054182865	4.57925928740141	4.71498021242731	4.54618376692839
MDH2	12.6705865673266	12.6417306990138	12.5266297455549	12.60241285909	12.4628987552807	12.5676049545516	12.5670119264215	12.5432565156428
MDK	10.5498815740198	10.7649900847732	11.1317518331029	11.173087183886	10.9629785422227	10.2802205364387	10.2638853534699	10.4146866746857
MDM1	9.14286593535743	9.07787772093035	9.07454052400199	9.0438228255542	9.12242554314816	9.02073037391657	9.0462896530326	9.10333098778913
MDM2	13.1249153568043	13.0860889073609	12.9419813286433	12.8501383822995	12.8643216156313	12.9542166094789	13.0279583721486	12.9714082420429
MDM4	11.0738805552606	11.1396142645447	11.298840405697	11.2016778380686	11.2404095711667	11.0787657615408	11.1476498629153	11.0937328320752
MDN1	11.7582634267508	11.7528663295671	11.4534711438283	11.2212476752735	11.2991303183334	11.4401319573304	11.4755023331745	11.3911708458428
MDP1	5.9909889557431	5.97405897152978	6.01050986439197	6.070437290037	6.1060585368376	6.02076132424044	6.0057842498523	5.98075218149697
MDS2	-1.7312943878168	-1.7297421764909	-1.73049817525947	-1.72425611056403	-1.72866134017393	-1.73029253019078	-1.72982922698297	-1.7230361866118
ME1	10.281820998298	10.2896058224037	10.4788859966611	10.4613826759553	10.567830299907	10.4127913973128	10.5072112897548	10.422210252696
ME2	10.1651150545404	10.1369620092772	10.1836287264152	10.1784411895188	10.2399265306946	10.1827184982021	10.1888256633851	10.1242702921629
ME3	1.87704934633277	1.81178941863086	1.84883184926106	1.85956047228416	1.83943214473834	1.82678144236577	1.84846559799144	1.83608727188598
MEA1	11.1815627317007	11.1508222289456	11.000696130465	10.9883062591698	10.8271198013284	11.0837216650662	11.0633007242779	11.0472661425545
MEAF6	10.7881333932546	10.8526166075197	10.6905252222132	10.6820437611823	10.7499424720507	10.7851111517373	10.7995854582622	10.8191975067024
MECOM	9.96813512201718	9.98857236318896	9.90347414556925	9.8753046024108	9.92927816014173	10.0757774274062	10.0706388719152	10.0384071742909
MECP2	11.1481454819688	11.1683423324677	11.2200947563365	11.1937765557849	11.1592036599106	11.2529660652014	11.2967652406277	11.2510536900264
MECR	9.74373362697113	9.69023083444781	9.6564908352698	9.65630150505901	9.58291833114214	9.5826149102604	9.56459840397354	9.68604298102568
MED1	12.5756440362927	12.5289276661822	12.3896032376678	12.3178770631708	12.4023192404353	12.4924254994921	12.5146248190348	12.4704943985756
MED10	10.2730018285698	10.1736541394237	10.2497430334668	10.2600861223514	10.2294311759754	10.3149727022713	10.2827231543117	10.2448479471659
MED11	8.27003659293915	8.26602760916352	8.21759296187071	8.31381138204123	8.24927233742409	8.20548689607985	8.18099210588783	8.28390551719843
MED12	10.893067153411	10.8501949356304	10.7820002080997	10.7300718855347	10.6378366883573	10.5852469142007	10.5981084261887	10.6689477289917
MED12L	9.68074144857985	9.69622586066819	9.83872731092147	9.79712302869105	9.80683089883827	9.77102885414408	9.85900513551933	9.82813299932362
MED13	12.2955476104732	12.2698922798799	12.2676056082439	12.1823380429121	12.3373738650692	12.1945690808248	12.2445981178057	12.1580788951761
MED13L	11.2973256930257	11.2955245736216	11.4753016366795	11.4205570680684	11.4557235671005	11.4416844919876	11.4560322299008	11.4411732980292
MED14	12.3451190957213	12.344974931661	12.3663763189138	12.3728749074743	12.4144175324148	12.3795296063569	12.3819027218771	12.3597606237575
MED15	10.7466539940116	10.7081022090189	10.5654197386593	10.6459183074808	10.4997660119213	10.4804350392298	10.5053424429742	10.4802457870947
MED16	10.5770116974809	10.4753228307481	10.2761919918948	10.3666014479685	10.2682786866249	10.4809984581107	10.459325073029	10.4730569825738
MED17	10.3587495686378	10.2761873961954	9.98462321567922	9.96339996566767	10.0369002797012	10.2466332534031	10.2037494857421	10.1624820347633
MED18	9.33080292056404	9.20693050863172	9.0817902424933	9.05792287265981	8.85173715642686	9.17817812973569	9.09772171660632	9.10239808513287
MED19	8.74708419573812	8.65253110258165	8.63963950183532	8.64345683979149	8.52650768529419	8.53788187011147	8.4820785452533	8.44911525512801
MED20	9.80017035927925	9.77892409599283	9.64219353955456	9.64466879697563	9.59060820041621	9.82138931059812	9.79281537583337	9.7507346763993
MED21	9.79885330756311	9.76309998234878	9.78812656722121	9.74608355267592	9.82330126924584	9.84321614495337	9.79726477240678	9.77670970696666
MED22	10.4059706736639	10.4303687696085	10.2798813698321	10.312020395799	10.267668240289	10.4886701352272	10.4729210237488	10.4889383574479
MED23	11.0573196938233	11.0385871251974	10.9427652816215	10.925188820117	10.9816568356173	10.9215257306426	10.9673246978169	10.9302674645253
MED24	11.8476283003523	11.8437101395483	11.5785271041067	11.6493207457039	11.5525153282752	11.8290178018731	11.8152083949118	11.861387894146
MED25	10.1948957307431	10.1831005861436	10.1159427098516	10.1880685691431	10.0543404492131	10.2604523582393	10.2853528820526	10.2931230918925
MED26	9.11959839736371	9.05875072922215	8.93887576647861	9.05562813849905	8.93079313129156	8.90139376613049	8.93644530227933	8.89465741308823
MED27	8.92754412989356	8.8183380036291	8.83174063989547	8.7507420954652	8.73620539336741	8.82647883537035	8.81278226781748	8.87450312967745
MED28	10.7024596798951	10.6612581669095	10.6398897148826	10.6372598645567	10.692542357046	10.716659842698	10.7005249016173	10.7266267521816
MED29	11.4047653912037	11.3292191732535	10.9708557707469	11.0031659251107	10.932563515675	11.3047229778535	11.2642593463711	11.2650572845002
MED30	8.33485094062512	8.38719193034997	8.48834016905099	8.51932942935072	8.55644707344902	8.34366250628629	8.29827487377335	8.27171278425773
MED31	8.16223819580833	8.14881073948464	8.0089901385393	7.98450958497926	8.11222368678601	8.08977332159247	8.14391649910228	8.09237174791798
MED4	9.87240227465197	9.92504867814853	9.81358273721568	9.8148557740247	9.85402821663098	9.93074176622811	9.89940349914625	9.87508755930874
MED6	10.3105614314832	10.2201045374475	10.0424174310505	10.0121108633745	10.0231803055166	10.1027633881297	10.1280058020057	10.0920143880704
MED7	9.03291715069579	9.09200450331923	9.05708924921605	9.02941748757197	9.11368187141019	9.02950634934559	9.03565648049908	9.06754155443913
MED8	10.5787945475138	10.5354399222021	10.4840659413757	10.4741802258051	10.4305865978424	10.5060648400926	10.5318598097181	10.4912683762455
MED9	9.7260755195201	9.67214790002667	9.72211125888448	9.80012879933371	9.70025243211705	9.7384828203917	9.7400383130602	9.68959718334134
MEF2A	11.3817136336007	11.3789320067438	11.410001010178	11.3891074763627	11.5045945021698	11.4405785729542	11.46969894731	11.4437604269546
MEF2B	0.0322555717237286	0.0330615716208928	0.029294655730108	0.0219335811319558	0.0150924291721275	0.0134870246955043	0.0139135256733532	0.0257503142570501
MEF2BNB	8.10311957841669	8.11678836189866	8.02877602206657	7.99462785814105	7.91504333914334	8.32075143701828	8.31655951529152	8.270465670055
MEF2BNB-MEF2B	2.61916005701841	2.62534454838605	2.62771608875756	2.65561242909098	2.62285727943182	2.61577266179693	2.62378698357429	2.59503969861315
MEF2C	10.0264221528115	10.0111079709264	10.0878385850174	10.076104003392	10.1049693503672	10.1647098119573	10.1999498151183	10.1625060083343
MEF2D	10.3873849347472	10.3605808440501	10.3852206876812	10.4088385746156	10.3386066025413	10.3822678715093	10.3665221731036	10.3587355529535
MEFV	2.71211686731851	2.6970419976752	2.73852728720264	2.74428406553078	2.70413541103598	2.65499431443167	2.6772901081602	2.72959585004462
MEG3	-1.73098197171514	-1.72960002128861	-1.7302730951177	-1.72471571783002	-1.72863774109886	-1.73009000710279	-1.72430756927181	-1.72899956042919
MEG8	0	0	0	0	0	0	0	0
MEGF10	5.73778256631576	5.8678627121847	6.1235386662689	6.04687010539505	6.07159297519694	5.88245659852398	5.93344484288588	5.98095137634046
MEGF11	6.61934804665749	6.62710306184626	6.6930054552164	6.73498681381603	6.73732469342249	6.50199819373458	6.52497528924542	6.54673577356566
MEGF6	5.85970202892293	5.88634765368234	5.92324722688281	6.13534698907514	5.98211730603734	5.77534610978052	5.79501159904866	5.8177584296003
MEGF8	11.6726723297479	11.6749478120815	11.4441906402514	11.3993161951761	11.3828498431163	11.513382497525	11.472516374144	11.5078777547049
MEGF9	10.0930035387428	10.1067433613274	10.218774431372	10.1586177891696	10.2802269168913	10.1897027245183	10.1414714644427	10.1475612155198
MEI1	4.45165961912762	4.45272473543917	4.60018084173101	4.57222318113582	4.55435919618918	4.68593253783008	4.7238818976933	4.70869617921401
MEIG1	2.96139832705441	2.94768048689134	2.94757848191543	3.01392686367891	2.93762577690433	2.92015587906716	2.92788822692906	2.94150673865638
MEIS1	8.69270449043954	8.59685360140782	8.74729122273039	8.65999445016324	8.76540067447993	8.66042696615925	8.71233372522711	8.55183697779937
MEIS2	9.71053563624968	9.68180970353236	9.6627814835289	9.68944038355548	9.69421471050651	9.78482274375512	9.81519687112398	9.72039941850661
MEIS3	8.32082274616227	8.41420482285786	8.70275671942191	8.86295780804571	8.73367486676106	8.52994903829038	8.43969006106665	8.55221704624609
MEIS3P1	6.1606467293557	6.22471628746812	6.36066381868239	6.38432042907586	6.30500277833845	6.15263281913669	6.20834009526062	6.24087012140417
MELK	10.5527749363272	10.5885189117459	10.6561998776568	10.5693784763207	10.7422365675953	10.7004264014639	10.6891554323042	10.6877519982788
MEMO1	7.67888272921204	7.70995589005666	7.61037453432102	7.59935753900748	7.60641357296144	7.73119916154455	7.69838859009969	7.70481163277766
MEN1	11.1218712422062	11.0589449515113	10.9188823245291	10.9545574766786	10.8622278972203	11.0926811064848	11.1030563453986	11.130096864193
