gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
YPL095C	2121.92625558904	1.61968751993064	0.485341601838535	0.000144314457803653	0.000524662542649011
YKL141W	5186.76396804688	0.883642595934827	0.244452923629907	0.000144381170191916	0.000524662542649011
YBL045C	7263.48327499305	0.8232276521242	0.227356557978884	0.000144887455627532	0.000526219404936319
YGL181W	1497.60906530077	0.831829102974232	0.229393664892258	0.000148671328542641	0.000539497311472158
YMR014W	875.053185801188	-1.23506239350477	0.357388921517199	0.00014870298731656	0.000539497311472158
YBR171W	1861.50527973696	-0.696450551061133	0.189756647463175	0.000149277134192842	0.000541289780047972
YPL082C	774.013521964515	-0.825016079914743	0.227761230660929	0.000149566882592098	0.000542049629726536
snR39B	14.703374122535	-2.17307361090909	0.677793372255224	0.000149908954402717	0.000542998190143602
YBL035C	300.769006963788	-0.949891963438178	0.266120305556759	0.000151097404528962	0.000547009832464519
YLR359W	3891.80694239154	-0.799415854987405	0.220302625417116	0.000151179938725141	0.000547015634819714
YKL086W	95.7975448588468	2.5303693843874	0.819974639007793	0.00015179202582797	0.000548936491477393
YER185W	156.700366086209	1.41685896587321	0.418097591396699	0.000151957159451564	0.000549239807878675
YDR013W	528.641157876845	-0.831384534394688	0.230213777830641	0.000154305997999324	0.000557431448678476
YMR235C	3258.64606947056	-0.744022953039294	0.204253647841741	0.000154399832250444	0.000557472471250403
YER126C	2244.77372626274	-1.93420379205481	0.605090468234045	0.000155588875280167	0.000561465674329231
YJL042W	938.643165966519	1.16714906825165	0.336049842642826	0.000158006417337625	0.000569885472137145
YMR019W	713.398480907691	-0.621020686869811	0.16870658155041	0.000158411625914387	0.000571042229096184
YER127W	809.91720620766	-1.1694302370494	0.337611963691159	0.000159256856457994	0.000573783098507238
YFR005C	658.357957739577	-1.02033142734276	0.289485646159448	0.000160302594225815	0.000577243065728442
YMR230W-A	17.2783720635982	-2.39579265615404	0.766294754133386	0.000161797509357838	0.000582315956203209
YGR184C	1190.13933131095	0.717484150931218	0.196925219182217	0.00016393665386319	0.000589387150777287
YFL004W	1902.92524771181	-0.749659078941669	0.206699803189814	0.000163880466898083	0.000589387150777287
YNR075C-A	75.7103077811077	2.21868340383264	0.711564234332085	0.000164304071024631	0.000590394054255972
YNR006W	904.430977559293	0.65862084407554	0.180019174139477	0.00016697960430344	0.000599689237772024
YBR019C	139.778991135654	1.32456961831247	0.389830637210342	0.00016774011866227	0.000602100617120701
YLR460C	658.86956749961	-1.51957724558079	0.460296733532225	0.00016786915596807	0.000602243962414111
YNL138W	2874.02146051476	0.878066435306273	0.2454877563329	0.000168149679251004	0.000602930335309036
YNL063W	605.728707638132	0.983920810688207	0.278577433909866	0.000168336962911304	0.000603281830497087
YOL164W-A	50.7992903395755	1.43602772095191	0.42812438446472	0.00016846933965404	0.000603436283371307
YDR116C	1997.04864685085	0.860953410607777	0.240322871307976	0.000168771970705129	0.000604200079447017
YDR476C	1075.02558019009	0.832952456636208	0.231918518723319	0.000169319020475829	0.000605837617467512
YOR287C	395.939365730412	-1.33176582559648	0.394248760534072	0.00017119133529871	0.000612212822901579
YDR491C	172.408026301696	1.38507156020145	0.411788141385126	0.000171780492112807	0.000613994894865396
YJL193W	397.440874253265	-0.880028468981932	0.247150175731888	0.000174315707931081	0.000622727203967323
YGR101W	1842.04912543116	0.930805392619366	0.262595469869233	0.000174820780291794	0.000624201613308103
YKL124W	475.888584217848	1.18361752636611	0.344035004271101	0.000175565036176706	0.00062652802508889
YPL096W	1011.86621047099	0.8128140359103	0.226435666957312	0.000176140429351094	0.000628249689701344
YPL191C	573.644199259822	0.769104804248388	0.213431508219137	0.000177275286818174	0.000631963957597065
YJL091C	768.475085697995	-0.802199926323128	0.223787292252564	0.000177593767001385	0.000632765562025492
YNL160W	16827.1059433646	0.995919300967183	0.28463752416766	0.000178004215714219	0.000633893832461752
YAL028W	416.937388549973	1.42166100416649	0.426069032313266	0.000178964175551652	0.000636976757532181
snR9	291.303859336545	0.965428574151096	0.274025256005048	0.000179253514412099	0.000637670791532303
YLL016W	354.366069705369	1.00892913860368	0.287974038910205	0.000180292050943354	0.000641027865505593
YNL182C	969.921693723862	-1.75741844156522	0.548318234511315	0.000180392023303229	0.000641046101738445
tE(UUC)C	9.99125705908862	-3.11057527164934	1.00763618350419	0.000180503932158886	0.000641106714378302
YER039C-A	134.567642696139	1.01351694086325	0.289494519604159	0.000181137595838342	0.000643019438167729
YCR032W	957.223401433916	0.720642926017074	0.199429690431259	0.000182784335301694	0.000648524578637348
YPR108W	6616.39813602668	0.605092984874086	0.165664217979582	0.000184711218870298	0.000655017381083078
YNL306W	3629.71293114807	0.84279862480467	0.236551001261823	0.000187092481656581	0.000663113835090107
YCR059C	825.620312905405	-0.913279082253821	0.259335377059448	0.000187424701302535	0.000663943163576432
YOL056W	1035.7660621804	-0.663854981136145	0.183282386521535	0.000187737701895079	0.000664703576274928
YLR106C	1013.53921821662	-1.56726765868481	0.480983579082898	0.00018935146261082	0.000670066249102898
YNL331C	557.332124074711	0.72151756363464	0.20021202663231	0.000190172027669507	0.000672617862385241
YNL062C	649.690995992632	-1.56985059933371	0.482234871347203	0.000190703904237276	0.000674146280721625
YDR527W	408.000523615157	-0.826011410443777	0.232305634967608	0.000192395175368775	0.000679660513139128
YEL050C	2006.13929125691	0.927157581140366	0.263357424884539	0.000192464894532962	0.000679660513139128
YNR075W	416.329219131113	1.73137728310764	0.538709265239284	0.000194693941887375	0.000687173030400399
YDL167C	839.289207014676	-1.59037529827848	0.492679737903091	0.000195055196762031	0.00068808876561303
YMR017W	57.6140563183653	1.47917729727553	0.448905697750866	0.000195298132346886	0.000688586372734796
YPR049C	646.797294115733	0.767348090197845	0.214869541244308	0.000198181034079705	0.000698386657635416
YMR105C	9779.01810912197	2.83098754816073	0.960018042729659	0.000198712063932261	0.00069989309021269
YER080W	1886.97836528583	0.668774962574685	0.185305945110718	0.000199902576946921	0.000703719540408459
YDR469W	1260.30713006371	-0.815121955313944	0.229696975693364	0.000201075702782859	0.000707480830353642
YNR022C	2470.97388969702	0.83595016235072	0.235727392201193	0.000204051997505527	0.000717579319011372
YCR023C	1334.31429098934	-0.576115546268703	0.158844390872237	0.000205810250002462	0.000723386104922851
YMR117C	87.3672876352423	-1.31320643690769	0.393704974951881	0.000205972636024811	0.000723580585702545
