Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
tH(GUG)G2	0	7	8	0	0	0
YGL097W	2607	2609	2657	1807	1606	2283
YGL096W	564	656	294	2526	1734	876
tE(UUC)G1	96	115	72	8	11	14
YGL095C	1367	1275	1601	2314	2481	2662
YGL094C	886	670	734	1019	956	761
YGL093W	649	520	694	1002	1320	1105
YGL092W	1086	1207	1319	1132	934	890
YGL091C	1096	1403	1384	2327	2334	1681
YGL090W	229	172	249	443	372	494
YGL089C	76	47	68	93	148	106
YGL088W	1	0	2	1	0	0
snR10	8	9	14	4	7	13
YGL087C	1246	1282	1318	2675	2466	2614
YGL086W	924	930	1134	799	798	859
YGL085W	665	722	603	965	982	941
YGL084C	1026	967	1359	1471	1467	1651
YGL083W	487	394	563	534	556	619
YGL082W	1501	1561	1983	1429	1694	2101
YGL081W	23	20	51	116	277	350
YGL080W	1206	1277	1820	1561	1966	1851
YGL079W	567	438	476	590	607	625
YGL078C	4685	3942	3457	2103	281	592
YGL077C	4925	4162	3730	1345	1061	974
YGL076C	9992	9293	10820	3345	1844	3085
snR39	50	40	65	50	14	16
snR39B	19	20	29	8	4	3
YGL075C	204	188	325	211	241	246
YGL074C	8	7	11	28	16	11
YGL073W	864	620	889	1600	1460	1536
YGL072C	1	7	3	3	9	0
YGL071W	760	501	664	759	556	687
YGL070C	1544	1816	1441	1161	921	1155
YGL069C	1	0	0	0	3	1
YGL068W	647	833	678	1520	1503	947
YGL067W	790	596	736	939	947	937
YGL066W	707	495	759	663	631	953
YGL065C	504	371	470	279	425	362
YGL064C	392	297	401	574	438	504
YGL063W	116	121	173	154	176	186
YGL063C-A	0	0	0	0	0	0
YGL062W	1656	1395	1954	4893	5954	3985
YGL061C	563	788	588	398	525	351
YGL060W	448	350	504	492	509	459
YGL059W	1608	1638	1938	1442	1905	2115
YGL058W	1740	1906	1972	1672	1259	1516
YGL057C	276	193	238	433	399	340
YGL056C	694	565	784	1883	945	1144
YGL055W	6870	6997	3517	69631	54267	40689
YGL054C	4297	4918	4598	2326	3033	3547
tE(UUC)G2	1	0	2	2	2	1
YGL053W	599	587	751	1877	3331	2561
YGL052W	71	47	88	103	272	190
YGL051W	65	78	67	110	189	163
tR(UCU)G1	6	6	2	1	5	2
YGL050W	890	854	989	813	846	711
YGL049C	932	796	935	1049	1485	1653
YGL048C	6414	6198	6801	13753	12367	11905
YGL047W	731	970	873	2464	2647	2356
