Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YDL248W	248	224	319	523	485	586
YDL247W-A	0	2	12	0	0	12
YDL247W	2	0	1	0	0	5
YDL246C	0	0	4	0	0	12
YDL245C	22	6	10	60	34	28
YDL244W	14	17	8	58	112	55
YDL243C	204	189	185	503	563	344
YDL242W	18	23	24	32	46	38
YDL241W	152	106	125	22	13	29
YDL240C-A	6	1	2	1	3	4
YDL240W	335	286	554	178	211	333
YDL239C	147	221	233	625	800	786
YDL238C	165	139	174	902	535	610
YDL237W	946	630	987	1408	1644	2040
YDL236W	3200	3125	3219	5257	2445	2865
YDL235C	2061	2328	1739	2233	1711	1638
YDL234C	1076	1076	1656	4617	5773	3900
YDL233W	248	236	310	612	951	768
YDL232W	843	859	820	561	533	652
YDL231C	1101	996	1150	982	750	780
YDL230W	709	766	897	1050	1892	2062
YDL229W	10737	7710	9052	3732	619	1322
YDL228C	41	50	50	13	5	1
YDL227C	1700	1403	1108	172	58	170
YDL226C	2289	2383	2800	2885	2846	3132
YDL225W	1826	1728	2137	2349	2210	2279
YDL224C	526	316	530	502	827	916
YDL223C	221	194	189	2739	4882	5216
YDL222C	35	35	119	184	1685	1939
YDL221W	45	45	34	67	96	68
YDL220C	117	80	113	168	120	185
YDL219W	1053	1294	1065	782	766	791
YDL218W	45	47	48	93	164	150
YDL217C	472	425	584	706	575	580
YDL216C	340	212	386	390	657	772
YDL215C	1124	1224	1919	5616	6346	3944
YDL214C	45	42	68	438	830	535
YDL213C	2572	2766	2177	1171	772	865
YDL212W	5334	6555	4995	2891	3213	3586
YDL211C	196	100	146	65	144	74
tG(GCC)D1	0	0	0	0	0	0
YDL210W	168	198	79	456	171	167
YDL209C	324	298	412	277	282	404
YDL208W	7252	7654	6243	2370	1004	1782
YDL207W	936	626	902	1007	1132	987
YDL206W	406	327	574	682	1182	1207
YDL205C	1585	1744	2073	1409	1502	1833
YDL204W	348	247	641	5603	13836	16971
YDL203C	507	447	576	667	742	718
YDL202W	833	665	649	1882	1944	1268
YDL201W	1140	802	799	514	470	577
YDL200C	895	1080	515	1645	1528	1300
YDL199C	154	135	238	465	1096	899
YDL198C	6652	5435	4417	1699	1949	2085
YDL197C	466	285	534	560	1077	1196
YDL196W	14	5	7	18	22	43
YDL195W	1115	1044	1416	1464	2369	2127
YDL194W	165	92	324	401	576	547
YDL193W	617	474	768	716	1458	1248
YDL192W	12896	14492	14028	10321	8620	9230
YDL191W	11828	13284	10764	5682	4396	5882
YDL190C	1279	1217	1585	1932	1753	1815
YDL189W	744	703	911	680	756	938
YDL188C	1025	855	1413	1091	1332	1391
YDL187C	0	0	2	0	0	0
YDL186W	65	54	67	40	99	97
YDL185C-A	47	24	57	58	32	51
YDL185W	4549	4711	6786	6056	5921	6624
YDL184C	5580	6475	5968	2910	2818	3484
YDL183C	246	237	406	651	1087	723
YDL182W	5091	3857	5681	950	619	1335
YDL181W	2321	2290	1364	4113	3902	4024
YDL180W	901	819	992	691	964	949
YDL179W	1584	1565	903	1105	1430	1194
YDL178W	2539	2783	2412	4130	3284	3062
YDL177C	579	775	637	612	649	735
YDL176W	427	427	574	721	830	696
YDL175C	558	433	649	500	625	582
YDL174C	3697	2681	2846	4999	4320	4013
YDL173W	1302	1237	1127	1264	1258	1225
YDL172C	0	5	2	3	6	0
YDL171C	1908	2567	2651	1004	1554	1355
YDL170W	873	547	687	634	522	768
YDL169C	167	157	190	1748	2516	1904
YDL168W	1907	1833	2289	3480	3318	3328
YDL167C	1354	1217	920	769	194	294
YDL166C	1512	1805	1215	789	504	542
YDL165W	1447	1556	1558	1918	1533	1796
YDL164C	563	527	663	630	547	493
YDL163W	0	0	0	0	0	0
YDL162C	0	0	3	2	2	0
YDL161W	1829	1134	1226	1242	1575	1512
YDL160C-A	603	613	545	892	798	732
YDL160C	203	158	419	285	198	411
YDL159W-A	1	1	0	0	0	1
YDL159W	203	147	261	301	409	516
YDL159C-B	0	0	0	0	0	0
YDL158C	154	222	225	174	204	140
YDL157C	1423	1757	1722	1256	1237	1280
YDL156W	180	75	126	94	58	118
YDL155W	850	717	965	515	820	859
YDL154W	376	410	170	506	548	269
YDL153C	2201	2212	2152	1319	422	443
YDL152W	0	0	0	0	0	0
YDL151C	31	39	38	24	11	15
YDL150W	876	775	696	450	286	286
YDL149W	195	224	297	653	868	875
YDL148C	1796	1692	1865	724	222	244
YDL147W	5437	5552	7032	11359	9829	9375
YDL146W	321	324	729	324	494	715
YDL145C	2709	2725	3347	2788	2775	2721
YDL144C	939	680	634	1831	2590	1949
YDL143W	4255	3118	4490	4927	3815	4111
YDL142C	683	734	981	891	1212	1109
YDL141W	383	340	418	456	373	421
YDL140C	1363	1053	1359	1635	1588	1858
YDL139C	208	173	274	183	288	346
YDL138W	646	516	453	707	553	642
YDL137W	7153	8083	7600	12915	11798	13291
YDL136W	9689	11145	8450	3280	1868	2889
YDL135C	1636	1723	1988	2475	2378	2549
YDL134C	2655	2499	3230	3601	3583	4033
YDL133C-A	4351	5406	4805	2368	2221	2620
YDL133W	873	829	1256	1046	1565	1675
YDL132W	1765	1856	2477	3967	3855	3715
YDL131W	4876	3736	3913	2228	1830	2309
YDL130W-A	1047	1073	1292	7854	7549	7310
YDL130W	8330	7488	8575	3405	2702	4022
YDL129W	299	242	415	207	129	197
YDL128W	2368	1856	2054	2643	2097	2472
YDL127W	344	296	370	251	314	406
YDL126C	9695	9537	12859	20381	17938	19562
YDL125C	5846	7573	6105	11006	8434	5951
YDL124W	5057	4985	5047	23783	27749	23949
YDL123W	296	274	451	539	889	743
YDL122W	2068	1927	1867	2187	1656	1894
YDL121C	1838	2212	1899	722	459	638
YDL120W	1286	1161	1298	1730	2531	2211
YDL119C	372	396	375	651	973	821
YDL118W	22	8	29	5	13	22
YDL117W	1155	1077	915	735	802	923
YDL116W	1322	1232	1593	1232	1021	1164
YDL115C	948	1121	1301	2474	2807	2354
YDL114W-A	1	2	8	7	2	1
YDL114W	2	6	4	12	9	10
YDL113C	657	524	1072	1387	1698	1926
YDL112W	986	873	906	683	417	304
YDL111C	1137	818	1056	904	872	823
YDL110C	1478	1401	1811	8146	11299	9839
YDL109C	135	96	124	204	189	265
YDL108W	808	857	731	802	877	962
YDL107W	631	641	597	2033	1968	1456
YDL106C	405	360	502	462	732	736
YDL105W	266	178	286	121	113	150
YDL104C	425	460	326	804	588	440
YDL103C	1424	1356	1759	1936	2003	1968
YDL102W	601	508	583	661	528	411
YDL101C	833	818	661	685	907	571
YDL100C	5434	5549	6297	11245	9163	7963
YDL099W	2065	2034	2416	4497	4566	4276
YDL098C	437	521	471	602	691	602
YDL097C	4011	3593	4055	9714	10424	8100
YDL096C	0	1	0	0	0	0
YDL095W	2637	2594	3240	2218	2576	2097
YDL094C	17	39	28	35	54	17
YDL093W	391	316	449	278	293	351
YDL092W	2384	2821	2609	2393	2321	2497
YDL091C	696	746	940	1327	1886	1731
YDL090C	759	712	1006	535	749	968
YDL089W	384	317	493	599	995	1015
YDL088C	1038	838	1142	1045	1220	1275
YDL087C	206	112	215	210	303	267
YDL086W	768	550	407	1665	2032	1283
YDL086C-A	0	0	0	0	0	0
YDL085C-A	955	1032	1198	755	646	1083
YDL085W	34	22	63	1607	2731	2785
YDL084W	9749	9527	13342	6953	5660	8379
YDL083C	15691	14294	14679	4867	2783	4699
YDL082W	10190	7782	9148	3287	1351	2393
YDL081C	16193	18264	16316	6565	4808	7416
YDL080C	1074	849	1115	852	486	702
YDL079C	469	492	733	494	829	989
YDL078C	4189	4412	4251	13137	10779	11403
YDL077C	459	437	559	721	956	886
YDL076C	1100	1208	1539	976	1342	1849
YDL075W	14489	13869	14490	5400	3182	4940
snR63	132	141	198	13	8	27
YDL074C	2207	2108	2395	1873	1335	1467
YDL073W	809	854	1059	858	519	824
YDL072C	3491	3153	3104	5477	7500	6838
YDL071C	53	19	29	62	38	42
YDL070W	3114	2945	3547	7298	6771	4765
YDL069C	187	197	200	184	234	206
YDL068W	8	16	25	13	10	14
YDL067C	3084	3386	2136	3675	3829	3679
YDL066W	3625	3311	3419	2271	1929	2378
YDL065C	1348	1412	1502	2193	2193	2349
YDL064W	1164	1193	1451	1078	1356	1323
YDL063C	756	736	732	417	65	95
YDL062W	9	7	5	8	3	7
YDL061C	4142	3951	4370	2106	1278	1672
YDL060W	1871	1653	1428	910	216	367
YDL059C	200	250	257	281	344	389
YDL058W	880	787	1091	1179	935	1026
YDL057W	332	314	266	1736	1728	1165
YDL056W	812	745	802	974	1130	1318
YDL055C	24578	21409	18239	18532	10158	9188
tK(UUU)D	71	80	51	14	13	20
YDL054C	1336	1288	1153	1372	1658	1248
YDL053C	972	946	1103	1184	1176	1179
YDL052C	963	620	928	1144	2410	1989
YDL051W	2468	2381	2528	867	358	627
YDL050C	114	133	112	43	30	26
YDL049C	888	925	914	321	171	166
YDL048C	4980	4384	3924	16850	3216	3468
YDL047W	1702	1449	1495	2135	1752	1729
YDL046W	2270	1802	2100	2378	3965	3042
YDL045W-A	1096	1153	1110	1676	1828	1584
YDL045C	649	723	901	1048	1354	1305
YDL044C	523	542	550	864	1017	815
YDL043C	750	863	685	797	637	650
YDL042C	197	223	216	308	319	321
YDL041W	1	0	0	0	0	0
YDL040C	1827	1248	2046	1464	1173	1544
YDL039C	317	231	427	219	421	149
YDL037C	85	58	81	50	78	34
YDL036C	653	546	414	619	420	349
YDL035C	1269	1421	1470	1169	1406	1713
YDL034W	8	4	6	5	0	6
YDL033C	250	175	247	511	413	321
YDL032W	0	0	0	0	0	0
YDL031W	1449	1212	1405	1002	625	615
YDL030W	662	745	727	893	832	823
YDL029W	5290	5417	6191	7520	6860	8086
YDL028C	597	425	521	465	813	766
YDL027C	772	648	872	2375	2696	1967
YDL026W	1	3	0	0	1	2
YDL025C	1082	1013	1099	1269	1692	1608
YDL025W-A	0	0	0	0	0	0
YDL024C	42	14	42	144	241	262
YDL022C-A	0	2	4	5	6	9
tA(AGC)D	0	0	0	1	0	1
YDL023C	1	2	0	2	1	0
YDL022W	1698	1448	3421	4205	10745	10146
YDL021W	375	413	680	3715	5286	5264
YDL020C	1594	1491	2571	6507	10364	8154
YDL019C	853	746	1174	2058	4456	3754
YDL018C	676	737	740	658	1248	1360
YDL017W	310	236	323	470	458	420
YDL016C	132	142	179	106	190	181
YDL015C	3086	2815	3865	2438	2701	3849
YDL014W	5757	4455	4493	2132	442	1105
YDL013W	706	655	787	1070	1192	1386
YDL012C	866	632	714	707	733	611
YDL011C	0	2	4	2	1	2
YDL010W	308	204	317	233	371	319
YDL009C	106	108	155	110	215	139
YDL008W	1056	1330	805	1535	1548	1341
tT(AGU)D	2	2	2	8	0	2
YDL007C-A	0	0	0	0	0	2
tS(AGA)D1	0	0	3	0	0	0
YDL007W	5703	6452	6553	12456	11110	10879
YDL006W	820	845	939	981	1007	807
YDL005C	985	686	1011	985	1271	1464
YDL004W	4145	4025	3386	7022	6452	7055
YDL003W	1609	1600	1325	508	373	329
YDL002C	1444	1697	1609	1570	1616	1832
YDL001W	722	672	759	581	637	642
YDR001C	1484	1410	2011	7841	9684	10689
YDR002W	9335	10763	10204	8411	7817	8802
YDR003W	835	793	1113	985	1977	1924
YDR003W-A	194	166	281	310	597	554
YDR004W	827	860	954	1311	1090	1035
YDR005C	1430	1353	1419	1836	1937	1846
YDR006C	875	1137	1320	1796	1214	1450
YDR007W	213	287	1109	263	362	1927
YDR008C	5	2	10	2	1	9
YDR009W	66	56	71	330	321	352
YDR010C	14	24	7	49	44	53
YDR011W	1669	1395	2459	2622	5218	3809
YDR012W	9970	8244	7381	4788	2179	2574
YDR013W	586	670	586	486	403	364
YDR014W	270	306	325	505	381	419
YDR014W-A	5	6	10	105	155	146
YDR015C	0	0	0	0	0	0
YDR016C	802	1022	997	509	925	1018
YDR017C	1293	1103	1239	1443	1480	1423
YDR018C	41	48	114	500	985	1103
YDR019C	1107	1032	619	1248	889	1014
YDR020C	527	566	535	224	168	146
YDR021W	504	444	383	223	118	111
YDR022C	298	273	286	1246	1343	1487
tV(UAC)D	11	7	8	9	1	4
YDR023W	10290	9458	11798	5749	2954	4545
YDR024W	23	52	37	17	20	22
YDR025W	10099	8737	9789	4255	2207	3628
YDR026C	976	744	773	1006	692	737
YDR027C	902	846	1171	903	1179	1390
YDR028C	1864	1688	2225	3962	3370	3635
YDR029W	97	46	82	130	95	129
YDR030C	386	418	397	1091	1016	924
YDR031W	584	812	707	2442	2994	2549
YDR032C	4717	5175	5965	26637	26923	28216
YDR033W	13074	10108	14127	7275	3323	5161
YDR034C	1352	1136	1160	1055	877	955
YDR034C-D	62	74	54	184	145	82
YDR034C-C	0	0	0	0	0	0
tL(UAA)D	2	0	0	0	2	0
YDR034C-A	0	1	8	8	19	22
tQ(UUG)D1	0	1	0	0	0	0
YDR034W-B	92	152	51	2255	4288	3972
YDR035W	11250	9407	9829	3687	2674	4125
YDR036C	578	330	578	1984	1766	1370
YDR037W	12551	9655	12306	6120	2172	3048
YDR038C	65	131	113	63	92	58
YDR039C	8	7	12	7	8	8
YDR040C	52	70	65	50	63	65
YDR041W	1797	2175	1903	4698	4688	3263
YDR042C	65	68	92	20	26	39
snR47	26	21	33	12	12	8
YDR043C	1050	997	958	2519	3073	2604
YDR044W	829	764	980	1353	773	1164
YDR045C	991	1343	962	674	498	531
YDR046C	6917	7743	7926	10844	2506	3348
YDR047W	2786	2485	2385	4862	2305	2567
YDR048C	3	3	1	75	88	34
YDR049W	590	540	513	979	882	992
YDR050C	38097	36716	41126	33048	23695	31635
YDR051C	1638	1731	1993	1901	2009	2072
YDR052C	860	663	753	746	645	643
YDR053W	1	2	3	2	1	1
YDR054C	1513	1119	1543	1859	1912	1896
YDR055W	5680	4187	2728	40979	27618	27929
YDR056C	2411	2432	2432	6106	7162	5029
YDR057W	621	589	727	1327	1550	1302
YDR058C	406	544	615	1812	2166	2069
tR(UCU)D	0	0	0	0	0	0
tD(GUC)D	1	2	3	0	0	0
YDR059C	526	545	544	2814	3277	1959
YDR060W	3190	2723	2440	1246	228	380
YDR061W	1366	1401	1332	2839	2972	2077
YDR062W	2837	2459	3084	2207	1983	2488
YDR063W	973	753	891	1252	1931	2099
YDR064W	20612	20502	20761	7723	3253	6365
YDR065W	365	352	416	880	522	429
YDR066C	331	383	346	763	667	512
YDR067C	890	1094	1075	1232	1388	1234
YDR068W	1374	1461	1756	2399	2288	2356
YDR069C	308	251	458	555	664	679
YDR070C	113	121	370	3935	8535	13476
YDR071C	4349	5005	4754	5006	5254	5314
YDR072C	2090	2109	3387	3445	2857	2897
YDR073W	638	480	591	424	514	482
YDR074W	2360	2517	6320	3560	13360	15269
YDR075W	460	256	383	303	194	228
YDR076W	254	182	206	255	269	245
YDR077W	17485	13456	11989	20748	32572	36255
YDR078C	394	464	426	486	539	462
YDR079W	787	946	1051	1816	2285	1916
YDR079C-A	468	526	504	678	719	760
YDR080W	500	546	575	787	655	629
YDR081C	749	584	855	738	610	657
YDR082W	497	516	620	753	712	766
YDR083W	1505	1201	1296	597	360	363
YDR084C	1225	1216	1530	955	1280	1474
YDR085C	351	378	419	1943	2954	2711
YDR086C	4388	5077	4594	3576	3344	3682
YDR087C	2028	2344	1929	664	310	407
YDR088C	719	728	1008	1039	978	1181
tR(ACG)D	11	31	6	1	5	3
YDR089W	402	361	465	252	445	419
YDR090C	925	791	930	615	600	698
YDR091C	3135	2857	3237	1144	477	685
YDR092W	1792	1665	1684	3053	2998	2433
YDR093W	503	345	574	389	390	465
YDR094W	0	0	0	0	0	0
YDR095C	0	2	1	4	2	3
YDR096W	389	430	791	646	1270	1233
YDR097C	501	527	564	438	240	124
YDR098C	2710	3230	3197	2262	1827	2105
tQ(UUG)D2	0	0	0	0	0	0
YDR098C-B	1	0	56	0	2	66
YDR098C-A	0	0	0	0	0	0
YDR099W	4900	3710	4499	7520	7692	7733
YDR100W	898	1015	1498	752	1943	2648
YDR101C	2050	1743	1570	758	171	275
YDR102C	7	15	20	21	14	33
YDR103W	670	732	786	933	962	900
YDR104C	308	268	412	685	595	585
YDR105C	1181	1014	1389	1203	1683	1772
YDR106W	48	34	51	40	79	94
tI(AAU)D	0	0	1	0	2	1
YDR107C	382	301	314	792	592	510
YDR108W	583	498	567	822	868	791
YDR109C	314	297	353	617	831	900
YDR110W	737	905	836	557	427	520
YDR111C	827	970	1240	304	379	526
YDR112W	29	46	49	10	7	25
YDR113C	551	395	424	191	374	335
YDR114C	7	17	16	1	0	0
YDR115W	872	1050	1076	2459	2882	1946
YDR116C	1307	1205	1231	3289	3324	2163
YDR117C	839	699	1011	1261	1145	1137
YDR118W	362	385	394	477	431	505
YDR118W-A	6	7	8	13	16	8
YDR119W	1554	1551	1598	463	470	772
YDR119W-A	328	561	304	238	706	873
YDR120C	2118	1738	1920	677	325	485
YDR121W	1033	1024	1084	645	578	564
YDR122W	801	807	1094	1673	2767	2893
YDR123C	582	507	590	418	114	224
YDR124W	306	299	312	346	420	423
YDR125C	245	231	244	261	346	443
YDR126W	359	395	424	237	226	282
YDR127W	4052	3999	4238	2417	2251	2238
YDR128W	800	800	893	1579	1118	963
YDR129C	5725	6188	8143	7307	9375	10426
YDR130C	421	353	369	456	751	609
YDR131C	344	348	352	666	585	638
YDR132C	505	474	478	577	581	436
YDR133C	3990	3404	5175	199	643	2681
YDR135C	1862	1959	1974	1867	1963	1840
YDR136C	22	12	20	14	13	9
YDR137W	841	846	1242	1179	936	1098
YDR138W	572	520	623	547	502	615
YDR139C	1455	1810	1578	1647	1734	1682
YDR140W	551	385	421	628	652	506
YDR141C	691	774	877	1328	1336	1202
YDR142C	476	387	565	603	829	752
YDR143C	639	524	662	672	612	616
YDR144C	954	794	1000	173	184	275
YDR145W	1869	1633	1882	1627	1685	1711
YDR146C	1263	940	779	388	929	965
YDR147W	804	814	834	636	889	829
YDR148C	1722	1357	1720	5966	5489	6590
YDR149C	0	0	0	0	0	0
YDR150W	763	831	977	1406	1515	1305
YDR151C	1326	1272	1851	1209	1737	1733
YDR152W	2055	1974	1987	1319	1135	1136
YDR153C	1374	1018	1067	1292	1351	1282
YDR154C	435	574	606	833	1352	1012
YDR155C	10457	10897	12256	17177	17697	20004
YDR156W	469	278	442	345	440	519
YDR157W	7	22	19	11	18	18
YDR158W	19279	17246	19701	7197	6272	8800
YDR159W	800	742	956	955	849	984
YDR160W	468	432	612	818	1025	1049
YDR161W	1906	1731	1830	890	611	574
YDR162C	1141	1207	1099	1560	1627	1447
YDR163W	933	1016	938	1459	1567	1469
YDR164C	747	505	682	1001	844	898
YDR165W	1864	1901	1944	957	441	449
YDR166C	693	611	611	1252	1139	842
YDR167W	2062	2146	1920	2185	1946	1797
YDR168W	2532	2649	3213	4828	4082	4009
YDR169C	500	344	551	703	767	742
YDR169C-A	4	8	11	3	2	14
YDR170C	1476	1680	1878	2158	2145	1868
tQ(UUG)D3	0	0	0	0	0	2
YDR170W-A	231	239	268	288	208	217
YDR171W	3411	3086	5873	8688	26351	26822
YDR172W	5066	4320	5242	3274	2162	3060
YDR173C	385	395	662	481	683	718
YDR174W	4067	3220	4535	3661	3058	3367
YDR175C	1072	942	1132	2567	2261	1596
YDR176W	1239	1164	1474	1360	1164	1310
YDR177W	3723	4350	3725	5576	5507	5975
YDR178W	975	891	1132	1799	3919	3578
YDR179C	328	416	312	192	223	133
YDR179W-A	555	529	467	405	386	339
YDR180W	317	281	412	413	320	203
YDR181C	774	802	816	1151	1035	1114
YDR182W	903	795	966	840	1312	1295
YDR182W-A	18	23	29	33	59	44
YDR183W	738	652	620	934	783	643
YDR183C-A	71	78	79	35	7	14
YDR184C	785	840	933	397	88	119
YDR185C	532	581	806	293	549	668
YDR186C	1615	1324	1254	3675	2930	2955
YDR187C	12	4	17	16	6	23
YDR188W	3164	2701	3367	4335	3313	3465
YDR189W	1559	1330	1872	2142	1918	1969
YDR190C	4387	4278	4128	3497	2295	2752
YDR191W	286	250	270	314	309	490
YDR192C	278	171	314	286	392	426
YDR193W	0	1	0	7	1	0
YDR194C	3391	3400	3482	5804	3820	3178
YDR194W-A	3	0	1	1	3	1
YDR195W	793	682	908	854	990	1128
YDR196C	1695	1898	2005	3360	4074	4081
YDR197W	709	610	682	1016	1286	1127
YDR198C	727	699	749	665	451	487
YDR199W	26	39	35	35	68	50
YDR200C	525	365	709	519	682	911
YDR201W	745	972	784	614	746	795
YDR202C	676	687	811	1235	1861	1553
YDR203W	0	0	1	1	1	4
YDR204W	898	971	1225	4039	4982	5148
YDR205W	321	241	290	320	356	337
YDR206W	1267	1146	1289	1406	1153	1116
YDR207C	480	450	508	605	904	744
YDR208W	988	1032	971	871	1268	1098
YDR209C	764	951	636	487	592	479
YDR210W	0	0	0	0	0	0
YDR210W-B	200	158	148	242	180	182
YDR210W-A	0	0	0	0	0	0
YDR210C-D	102	146	86	190	69	48
YDR210C-C	0	0	0	0	0	0
tI(UAU)D	0	2	0	0	0	0
YDR211W	2314	2254	2761	1949	1259	1398
YDR212W	3233	3320	4097	3420	2847	2947
YDR213W	264	233	414	773	669	861
YDR214W	2984	2470	2289	7764	10807	9619
YDR215C	12	19	30	13	43	57
YDR216W	163	139	250	885	1256	1000
YDR217C	508	587	581	602	420	347
YDR218C	18	21	21	54	94	76
YDR219C	1036	965	1452	1132	1289	1476
YDR220C	38	30	52	43	26	59
YDR221W	576	504	609	973	719	693
YDR222W	1363	1396	1124	2231	426	420
YDR223W	116	94	160	678	977	870
YDR224C	10339	9933	9430	6717	6319	3848
YDR225W	17407	21077	15051	16439	13238	9040
YDR226W	8283	6807	7529	5120	4018	5526
YDR227W	624	598	649	800	688	647
YDR228C	734	640	1010	794	1073	1057
YDR229W	1022	1034	1579	1647	2347	2664
YDR230W	52	83	95	148	242	167
YDR231C	594	724	693	1431	1829	1666
YDR232W	1064	1136	1158	1518	970	831
YDR233C	6780	5404	5806	11337	7596	6078
YDR234W	1775	1619	1640	595	609	784
YDR235W	1004	974	1423	1129	980	1071
YDR236C	923	911	894	1179	1286	1419
YDR237W	1548	1590	1459	3701	2951	2048
YDR238C	2842	2670	2666	3550	3056	2770
YDR239C	369	279	276	572	538	421
YDR240C	438	338	451	429	404	439
YDR241W	144	160	205	159	158	157
tY(GUA)D	5	2	1	1	1	0
YDR242W	1040	1132	659	1693	817	622
YDR243C	387	427	412	586	329	472
YDR244W	961	855	1133	1702	1832	2493
YDR245W	3682	3729	3403	1740	1645	1621
YDR246W	378	348	481	1246	1658	1345
YDR246W-A	13	7	37	45	83	70
YDR247W	395	386	623	958	633	745
YDR248C	2483	3130	1928	4619	4476	4309
YDR249C	371	291	631	229	328	250
YDR250C	14	10	20	12	16	15
YDR251W	1112	819	1529	1329	1970	1929
YDR252W	116	156	162	115	113	117
YDR253C	148	189	224	128	138	203
YDR254W	356	408	476	567	755	751
YDR255C	360	309	459	484	632	792
YDR256C	313	260	369	412	589	691
YDR257C	1466	1387	1469	1057	764	879
YDR258C	3312	3194	3278	12496	18061	11881
YDR259C	166	136	147	317	351	221
YDR260C	412	453	509	820	945	786
YDR261C	1068	830	1065	671	709	790
tS(AGA)D2	5	2	8	4	1	0
YDR261W-B	337	441	279	525	399	257
YDR261W-A	0	0	0	0	0	0
YDR261C-D	118	184	364	173	153	341
YDR261C-C	0	0	0	0	0	0
tG(GCC)D2	38	43	43	23	30	46
YDR262W	1439	1539	1938	1616	2868	2820
YDR263C	131	116	178	157	221	179
YDR264C	2280	1762	2597	4179	2376	2703
YDR265W	651	710	1003	1234	1197	1145
YDR266C	961	824	1049	726	701	870
YDR267C	1378	1348	1355	1329	980	752
YDR268W	519	566	741	1017	770	703
YDR269C	2	1	0	1	0	4
YDR270W	595	385	657	1158	671	542
YDR271C	0	1	0	3	1	0
YDR272W	2280	2677	2473	8347	9081	10165
YDR273W	106	111	281	267	516	541
YDR274C	108	120	111	1480	1064	981
YDR275W	842	1022	1304	1766	2178	1567
YDR276C	5824	6225	6048	5225	4262	3650
YDR277C	543	386	1867	2084	2396	3229
YDR278C	3	10	3	10	6	8
tE(CUC)D	0	0	0	0	0	0
YDR279W	877	875	922	444	429	371
YDR280W	1815	2101	2010	1200	1166	1259
YDR281C	153	95	82	52	9	20
YDR282C	327	377	374	1196	1136	1055
YDR283C	670	696	853	994	904	930
YDR284C	1927	2199	2252	2367	3026	3056
YDR285W	276	291	264	650	617	613
YDR286C	349	399	421	713	983	833
YDR287W	567	513	564	1540	1516	1607
YDR288W	1063	1218	1153	1031	1401	1364
YDR289C	710	791	880	1385	1575	1494
YDR290W	0	3	0	2	3	1
YDR291W	503	494	544	830	674	616
YDR292C	2419	2160	2693	2284	1787	1944
YDR293C	1824	1608	2206	3621	5178	4682
YDR294C	1925	1258	1597	4416	3001	2959
YDR295C	700	648	809	1001	798	777
YDR296W	1124	949	1024	3388	3699	2643
YDR297W	2535	2128	2798	7441	1201	1419
YDR298C	4505	4084	2860	7316	5974	6283
YDR299W	1447	1140	1100	894	171	311
YDR300C	1717	1415	1752	852	424	512
YDR301W	512	398	473	386	403	510
YDR302W	1210	1422	1474	926	1162	1268
YDR303C	595	762	849	622	811	735
YDR304C	4715	5681	5814	7622	8272	10500
YDR305C	949	1106	885	1110	1366	1149
YDR306C	706	570	1032	1091	1568	1606
tV(CAC)D	1	6	2	0	2	3
YDR307W	568	627	721	700	906	916
YDR308C	1174	1400	1003	1639	1221	1209
YDR309C	737	481	960	127	86	209
YDR310C	1090	847	800	1032	999	1008
YDR311W	981	890	1191	1004	867	1243
YDR312W	825	767	655	700	493	365
YDR313C	402	342	430	502	1178	721
YDR314C	244	158	123	328	220	202
YDR315C	409	502	399	597	646	655
YDR316W	1281	1322	1007	2564	2412	1440
tF(GAA)D	2	0	4	4	0	1
YDR316W-B	3	1	68	6	2	59
YDR316W-A	0	0	0	0	0	0
YDR317W	191	189	282	307	307	329
YDR318W	618	636	870	614	674	808
YDR319C	957	1008	857	1620	1869	1374
YDR320C	390	301	367	824	968	784
YDR320C-A	1190	1526	984	1116	1502	1365
YDR320W-B	5	3	6	8	6	5
YDR321W	2087	1875	2569	757	466	711
YDR322W	1015	948	932	2505	2448	1658
YDR322C-A	3458	3987	2415	5653	5379	5561
YDR323C	342	384	378	537	670	711
YDR324C	2328	2183	1730	1036	237	442
YDR325W	717	767	567	638	573	543
YDR326C	757	736	908	532	526	593
YDR327W	494	619	563	816	1010	948
YDR328C	3288	3701	3382	5151	5009	5813
YDR329C	1565	1459	1998	1281	2120	2306
YDR330W	771	591	906	2362	2927	2956
YDR331W	713	542	673	556	454	474
YDR332W	432	364	547	764	734	872
YDR333C	1257	1127	1767	1347	1079	1429
YDR334W	877	921	1245	1419	1672	1497
YDR335W	1168	1378	1658	2469	2531	2187
YDR336W	668	840	763	1276	984	941
YDR337W	1978	2268	1916	4831	4222	2776
YDR338C	469	391	491	413	548	499
YDR339C	2395	2681	1986	1503	966	1071
tX(XXX)D	0	3	1	0	0	0
YDR340W	9	5	6	22	16	18
YDR341C	7520	6437	7758	2730	1724	2063
YDR342C	288	394	1278	353	136	1296
YDR343C	56	69	564	72	22	381
YDR344C	26	29	58	17	7	24
YDR345C	14709	13215	21643	32987	12106	11144
YDR346C	3698	3558	4058	5283	3866	2781
YDR347W	1372	1062	1201	3682	3899	2353
YDR348C	2003	1791	1845	2244	1758	1816
YDR349C	1374	912	1224	1258	1054	978
tM(CAU)D	2	5	0	1	0	0
YDR350C	913	813	1053	1452	1431	1456
YDR351W	706	640	799	740	684	715
YDR352W	1289	1250	1109	673	506	523
YDR353W	9832	8981	9638	6496	8200	11412
YDR354W	3036	2727	2047	869	1049	1071
YDR354C-A	0	0	0	0	0	0
YDR355C	0	1	0	0	0	0
