gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YMR174C	4395.32561982207	5.51956395307508	0.185231407055624	29.7982077705514	4.12117083186607e-195	2.78549936525828e-191
YBR072W	30071.4867777567	6.53340658718753	0.230205368135169	28.3807742630542	3.49260049065986e-177	1.1803243358185e-173
YBR117C	7645.24915858536	7.45338890396181	0.269584811584419	27.6476588579169	2.97766393444817e-168	6.70867684431173e-165
YGR256W	7223.14402959934	6.79901282369989	0.282603281715103	24.0585062651682	6.80072886168168e-128	1.14915315940266e-124
YMR175W	8536.52833766588	7.54929996918944	0.333917634756442	22.6082697749577	3.59351320211836e-113	4.85771114662359e-110
YPL223C	4525.19392267159	7.13291377843429	0.321893761949882	22.1592171753389	8.50157185771631e-109	9.57702069771742e-106
YGL121C	4736.48160249563	4.34619650393626	0.196450729105021	22.1235956910744	1.8738179973456e-108	1.80930512057985e-105
YKR076W	3379.9311753684	4.31916665200174	0.232731086563951	18.5586150770404	6.94725959225342e-77	5.86956594800511e-74
YMR175W-A	768.664101972221	7.92349498499789	0.428276637890621	18.5008807018362	2.03127460772456e-76	1.52548723040114e-73
YKR049C	4006.8719377056	2.92273843952559	0.175351019775565	16.667929523686	2.24227953786887e-62	1.51555673964557e-59
YIL136W	16208.22853221	4.25428430417942	0.259207871034351	16.4126354929076	1.55314569687919e-60	9.54337433200589e-58
YMR090W	8161.68549995371	3.41575532480115	0.210301154871314	16.242209068663	2.53624012521065e-59	1.4285372505249e-56
YBL075C	4682.70705924448	4.61593304668719	0.284417837673504	16.229407706791	3.12459842220963e-59	1.62455082582422e-56
YML042W	1254.69255548557	3.58673566482731	0.235119706311674	15.2549342677076	1.52648665873909e-52	7.36965951886964e-50
YOR120W	6784.09457997331	3.18554960889392	0.209364303534954	15.2153426114594	2.79751057390355e-52	1.26055826460094e-49
YDL130W-A	4002.74725642268	2.42308605163243	0.160830040240178	15.0661284920023	2.70506901894934e-51	1.14272259369241e-48
YDL085W	1077.05202644188	5.61166629137318	0.374012389839579	15.0039582746981	6.91683688236089e-51	2.75005296987513e-48
YGL156W	3819.65646594884	3.59099431920781	0.239747315819435	14.9782461878004	1.01869889442669e-50	3.82521434857224e-48
YDL169C	1009.46437827107	3.27029748465337	0.224178536406165	14.5879152263189	3.35287840305132e-48	1.19274237506441e-45
